i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
71: 11 5 7 1 11 11 4 7 0 11 140196.78000 0.10000 0.01904 0.02466
72: 8 4 5 0 8 8 3 5 1 8 175855.75000 0.10000 -0.05915 -0.08051
73: 2 1 1 1 2 2 0 2 1 2 177819.32500 0.05000 0.06847 0.09068
74: 2 1 1 0 2 2 0 2 0 2 177921.20300 0.05000 0.08279 0.09285
75: 2 2 1 0 2 2 1 1 1 2 183188.33000 0.10000 0.06703 0.06536
76: 18 8 11 0 18 18 7 11 1 18 183472.32900 0.10000 0.03087 -0.05782
77: 8 4 5 1 8 8 3 5 0 8 183987.87000 0.10000 -0.02017 0.00862
78: 13 6 8 0 13 13 5 8 1 13 185718.28000 0.10000 0.09591 0.05728
79: 18 8 11 1 18 18 7 11 0 18 186878.39100 0.20000 0.45628 0.29271
80: 13 6 8 1 13 13 5 8 0 13 191494.99000 0.10000 0.15861 0.18870
81: 2 2 1 1 2 2 1 1 0 2 193007.79000 0.10000 0.10628 0.09153
82: 5 3 3 0 5 5 2 3 1 5 201911.78000 0.10000 -0.02612 -0.03861
83: 2 2 0 1 2 2 1 1 1 2 206971.86000 0.10000 0.22078 0.21155
84: 2 2 0 0 2 2 1 1 0 2 207170.50000 0.10000 0.08131 0.08566
85: 5 3 3 1 5 5 2 3 0 5 211056.75000 0.10000 0.00451 0.02881
86: 3 2 1 1 3 3 1 2 1 3 212246.87000 0.10000 0.13806 0.13393
87: 3 2 1 0 3 3 1 2 0 3 212411.44000 0.10000 0.11809 0.12692
88: 10 5 6 0 10 10 4 6 1 10 242328.17000 0.10000 -0.03192 -0.07808
89: 15 7 9 0 15 15 6 9 1 15 248927.53400 0.05000 -0.06602 -0.00283
90: 10 5 6 1 10 10 4 6 0 10 249449.98900 0.10000 -0.04758 -0.05938
91: 10 5 6 1 10 10 4 6 0 10 249450.03800 0.05000 0.00142 -0.01038
92: 15 7 9 1 15 15 6 9 0 15 253639.64500 0.05000 -0.03620 0.02185
93: 4 2 2 3 4 4 1 3 3 4 268026.50200 0.03000 -0.00374 -0.00081 
94: 4 2 2 3 4 4 1 3 3 5 268026.50200 0.03000 -0.00374 -0.00081 
95: 4 2 2 3 4 4 1 3 3 3 268026.50200 0.03000 -0.00374 -0.00081 
96: 4 2 2 3 3 4 1 3 3 4 268027.31300 0.03000 -0.03761 -0.03432 
97: 4 2 2 3 3 4 1 3 3 3 268027.31300 0.03000 -0.03761 -0.03432 
98: 4 2 2 3 5 4 1 3 3 5 268027.31300 0.03000 -0.03761 -0.03432 
99: 4 2 2 3 5 4 1 3 3 4 268027.31300 0.03000 -0.03761 -0.03432 
100: 4 2 2 0 4 4 1 3 0 4 268174.04000 0.10000 0.11416 0.11722
101: 7 4 4 0 7 7 3 4 1 7 284517.65000 0.10000 -0.12380 -0.12510
102: 4 3 2 0 4 4 2 2 1 4 287464.75000 0.10000 0.13446 0.11956
103: 7 4 4 1 7 7 3 4 0 7 292819.05000 0.10000 0.02636 0.05765
104: 3 1 2 3 2 3 0 3 3 3 296475.31800 0.05000 -0.02408 0.02044
105: 3 1 2 3 3 3 0 3 3 3 296475.31800 0.05000 -0.02408 0.02044
106: 3 1 2 3 4 3 0 3 3 3 296475.31800 0.05000 -0.02408 0.02044
107: 3 1 2 3 2 3 0 3 3 2 296477.20700 0.05000 0.01501 0.06069 
108: 3 1 2 3 3 3 0 3 3 2 296477.20700 0.05000 0.01501 0.06069 
109: 3 1 2 3 3 3 0 3 3 4 296477.20700 0.05000 0.01501 0.06069 
110: 3 1 2 3 4 3 0 3 3 4 296477.20700 0.05000 0.01501 0.06069 
111: 3 1 2 2 2 3 0 3 2 3 296614.24200 0.02000 -0.03328 -0.02233 
112: 3 1 2 2 3 3 0 3 2 3 296614.24200 0.02000 -0.03328 -0.02233 
