i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
307: 3 3 1 1 3 3 0 3 0 3 877314.91800 0.05000 0.01178 0.02307
308: 9 6 4 0 9 9 5 5 0 9 877684.03400 0.03000 0.06548 0.09115
309: 8 6 3 0 8 8 5 4 0 8 877781.00500 0.05000 -0.01113 0.01984
310: 7 6 2 1 7 7 5 2 0 7 877841.48800 0.03000 0.02143 0.03167
311: 6 3 3 0 6 6 2 5 1 6 878958.14700 0.05000 -0.01616 -0.05897
312: 8 6 3 1 8 8 5 4 1 8 879116.87900 0.03000 0.03948 0.04591
313: 12 5 7 0 12 11 8 3 1 11 879460.79800 0.05000 -0.04997 0.03681
314: 11 7 5 0 11 11 6 5 1 11 879979.70700 0.05000 0.18711 0.16820
315: 14 8 7 1 14 14 7 7 0 14 880520.80500 0.02000 -0.00669 0.01854
316: 7 6 1 0 7 7 5 3 1 7 883613.88600 0.02000 0.02635 0.01942
317: 11 4 7 1 11 11 3 8 1 11 884216.35500 0.03000 -0.03179 0.00644
318: 11 4 7 0 11 11 3 8 0 11 884404.90800 0.03000 0.01787 0.04217
319: 8 6 2 1 8 8 5 4 0 8 884568.08000 0.03000 0.07706 0.06601
320: 8 2 6 1 8 8 1 7 1 8 884613.29100 0.02000 0.00738 -0.00820
321: 8 2 6 0 8 8 1 7 0 8 885011.43100 0.07000 -0.02248 -0.12370
322: 11 7 5 1 11 11 6 5 0 11 885181.00900 0.02000 0.01464 0.00996
323: 12 5 7 1 12 11 8 3 0 11 886133.71100 0.03000 0.00740 -0.02296
324: 7 6 2 0 7 7 5 3 0 7 886637.66100 0.04000 -0.01215 0.00808
325: 7 6 2 1 7 7 5 3 1 7 887296.13900 0.02000 -0.00411 0.00065
326: 6 3 3 1 6 6 2 5 0 6 888161.71400 0.03000 -0.00615 -0.04522
327: 9 6 3 0 9 9 5 5 1 9 889188.71900 0.02000 -0.01199 -0.00135
328: 10 2 8 0 10 9 5 5 0 9 890071.60100 0.04000 0.04671 0.11034
329: 6 6 1 0 6 6 5 1 1 6 890753.39800 0.02000 -0.01401 0.02093
330: 10 2 8 1 10 9 5 5 1 9 890914.03300 0.10000 -0.00302 -0.08365
331: 3 1 2 0 3 2 0 2 1 2 1047378.47900 0.05000 0.03048 0.05096
332: 3 1 2 1 3 2 0 2 0 2 1057461.67900 0.05000 0.06880 0.10028
333: 3 2 1 0 3 2 1 1 1 2 1081970.53500 0.10000 0.02109 0.02820
334: 12 8 4 0 12 12 7 5 0 12 1106168.09900 0.10000 0.02498 -0.05079
335: 12 8 5 1 12 12 7 5 0 12 1109998.33900 0.10000 0.05684 0.12148
336: 7 2 6 0 7 6 3 4 1 6 1127032.10900 0.10000 0.01644 0.09501
337: 7 2 6 1 7 6 3 4 0 6 1136215.51900 0.10000 0.04532 0.08096
338: 3 2 2 0 3 2 1 2 1 2 1145320.39200 0.20000 0.06967 0.11419
339: 12 8 5 1 12 12 7 6 1 12 1157447.78100 0.10000 -0.07384 -0.06704
340: 13 8 5 0 13 13 7 7 1 13 1157465.15500 0.10000 -0.28950 -0.30990
341: 5 2 3 1 5 4 3 1 0 4 1157582.58700 0.20000 -0.03622 0.00662
342: 11 8 4 1 11 11 7 4 0 11 1158907.72800 0.20000 0.24146 0.24996
343: 10 5 5 1 10 10 4 7 0 10 1167978.52300 0.30000 0.20244 0.19401
344: 11 8 3 0 11 11 7 5 1 11 1169771.89900 0.10000 -0.11123 -0.30554
345: 7 3 4 0 7 7 2 6 1 7 1170701.47900 0.20000 0.11333 0.03372
346: 11 8 3 1 11 11 7 5 0 11 1175425.82100 0.10000 -0.10594 -0.16693
347: 10 8 2 0 10 10 7 4 1 10 1183885.87500 0.10000 -0.07798 -0.27999
348: 5 2 3 1 5 4 3 2 1 4 1185110.99300 0.10000 -0.07833 -0.03149
349: 10 8 3 1 10 10 7 4 1 10 1187141.25000 0.10000 -0.02203 -0.07073
350: 10 8 2 0 10 10 7 3 0 10 1187149.49900 0.10000 -0.03451 -0.15050
351: 13 7 6 1 13 13 6 8 0 13 1187405.89300 0.10000 0.02562 0.20895
352: 10 8 3 1 10 10 7 3 0 10 1190404.85200 0.10000 -0.00056 0.03676
353: 10 2 8 0 10 10 1 9 0 10 1191348.57900 0.10000 0.12298 0.09476
354: 5 0 5 0 5 4 1 4 0 4 1192696.88400 0.10000 -0.06018 -0.04172
355: 14 8 6 0 14 14 7 8 1 14 1193114.88600 0.50000 -0.51101 -0.58485
356: 7 3 5 0 7 6 4 2 0 6 1236503.54800 0.20000 0.05953 0.09536
357: 4 3 2 0 4 3 2 2 1 3 1556001.30800 0.10000 0.07573 0.10589
358: 4 3 2 1 4 3 2 2 0 3 1565266.52300 0.10000 -0.04105 -0.03442
359: 6 2 5 1 6 5 1 4 1 5 1590323.44500 0.10000 0.02305 0.04089
360: 4 3 1 0 4 3 2 2 0 3 1592795.00800 0.10000 -0.00417 0.00648
361: 7 2 5 1 7 6 3 3 0 6 1621154.87400 0.10000 0.03810 0.11558
362: 7 3 4 0 7 6 4 2 1 6 1633336.45800 0.30000 0.13197 0.11500
363: 7 3 4 1 7 6 4 2 0 6 1641690.73700 0.10000 0.01255 0.02115
364: 7 0 7 0 7 6 1 6 0 6 1642871.12900 0.10000 -0.00683 0.02370
365: 7 0 7 1 7 6 1 6 1 6 1642947.14500 0.10000 0.08731 0.13078
366: 7 1 7 0 7 6 0 6 0 6 1643328.61300 0.10000 0.01709 0.04855
367: 7 1 7 1 7 6 0 6 1 6 1643403.04900 0.10000 0.10530 0.14705
368: 5 3 3 0 5 4 2 2 0 4 1683711.26400 0.20000 0.03599 0.07724
369: 4 4 0 0 4 3 3 0 1 3 1691440.68800 0.10000 -0.04160 -0.03759
370: 4 4 1 0 4 3 3 1 1 3 1694381.37000 0.10000 -0.05090 -0.04855
371: 4 4 0 1 4 3 3 1 1 3 1700009.48600 0.10000 -0.00219 0.01382
372: 4 4 0 1 4 3 3 0 0 3 1701928.41700 0.20000 0.05466 0.06958
373: 8 4 4 0 8 7 5 2 1 7 1732662.47100 0.10000 0.08378 0.07510
374: 6 5 1 0 6 5 4 1 1 5 2409847.64500 0.20000 0.25196 0.26900
375: 6 5 2 0 6 5 4 2 1 5 2417810.37600 0.20000 0.43115 0.44081
376: 7 3 4 0 7 6 2 4 1 6 2425421.62300 0.20000 0.57535 0.51630
377: 7 2 6 1 7 6 1 6 0 6 2578357.08700 0.20000 -0.12630 -0.06679
