i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
659: 8 7 1 1 8 7 6 1 0 7 110.0849300 -0.0003000 -0.0000691 -0.0000681
660: 8 7 2 1 8 7 6 2 0 7 110.0948600 -0.0003000 -0.0002396 -0.0002386
661: 9 5 5 0 9 8 4 5 1 8 110.1726600 -0.0003000 0.0001351 0.0001324
662: 9 1 8 0 9 8 0 8 1 8 110.2530900 -0.0003000 0.0000775 0.0000811
663: 9 2 8 0 9 8 1 8 1 8 110.2655100 -0.0003000 0.0002045 0.0002081
664: 9 5 5 1 9 8 4 5 0 8 110.4169900 -0.0003000 0.0002169 0.0002158
665: 9 1 8 1 9 8 0 8 0 8 110.5928400 -0.0003000 -0.0001300 -0.0001303
666: 9 6 4 1 9 8 5 3 1 8 112.5058500 -0.0003000 -0.0000161 -0.0000163
667: 9 6 3 0 9 8 5 3 1 8 112.9087600 -0.0003000 -0.0000527 -0.0000532
668: 7 4 3 1 7 6 1 5 0 6 112.9166200 -0.0003000 -0.0001481 -0.0001496
669: 9 6 3 1 9 8 5 3 0 8 113.1200700 -0.0003000 -0.0000168 -0.0000182
670: 9 6 4 1 9 8 5 4 0 8 114.1715500 -0.0003000 0.0002030 0.0002028
671: 9 6 3 0 9 8 5 4 0 8 114.5741000 -0.0003000 -0.0001936 -0.0001940
672: 8 8 0 0 8 7 7 0 1 7 115.0932300 -0.0003000 -0.0002187 -0.0002130 
673: 8 8 1 0 8 7 7 1 1 7 115.0932300 -0.0003000 -0.0002187 -0.0002130 
674: 10 5 5 0 10 9 4 5 1 9 115.2606000 -0.0003000 -0.0001855 -0.0001843
675: 8 8 0 1 8 7 7 0 0 7 115.3331000 -0.0003000 -0.0002456 -0.0002303 
676: 8 8 1 1 8 7 7 1 0 7 115.3331000 -0.0003000 -0.0002456 -0.0002303 
677: 10 5 5 1 10 9 4 5 0 9 115.5076500 -0.0003000 0.0002179 0.0002140
678: 7 5 2 1 7 6 2 4 0 6 115.8901700 -0.0003000 0.0001696 0.0001702
679: 10 4 6 0 10 9 3 6 1 9 115.9007100 -0.0003000 0.0000373 0.0000346
680: 9 7 2 0 9 8 6 2 1 8 118.9797200 -0.0003000 -0.0001253 -0.0001271
681: 9 7 3 0 9 8 6 3 1 8 119.0306100 -0.0003000 -0.0000552 -0.0000561
682: 9 7 3 0 9 8 6 2 0 8 119.1229700 -0.0003000 0.0000661 0.0000659
683: 9 7 2 0 9 8 6 3 0 8 119.2071700 -0.0003000 0.0009352 0.0009320
684: 9 7 2 1 9 8 6 2 0 8 119.2634600 -0.0003000 0.0000224 0.0000200
685: 9 7 3 1 9 8 6 3 0 8 119.3140300 -0.0003000 -0.0000364 -0.0000375
686: 10 6 5 1 10 9 5 4 1 9 119.4845200 -0.0003000 0.0000526 0.0000529
687: 10 3 7 0 10 9 2 7 1 9 119.6759800 -0.0003000 0.0000081 0.0000035
688: 10 3 7 1 10 9 2 7 0 9 119.9495500 -0.0003000 -0.0000279 -0.0000326
689: 10 4 7 0 10 9 3 7 1 9 120.7799500 -0.0003000 -0.0000477 -0.0000522
690: 10 5 6 0 10 9 4 6 1 9 120.9641600 -0.0003000 0.0000480 0.0000433
691: 10 6 4 0 10 9 5 4 1 9 121.0317300 -0.0003000 0.0000383 0.0000385
692: 10 4 7 1 10 9 3 7 0 9 121.0491000 -0.0003000 0.0001356 0.0001301
693: 10 5 6 1 10 9 4 6 0 9 121.2048300 -0.0003000 0.0001083 0.0001066
694: 10 6 4 1 10 9 5 4 0 9 121.2457500 -0.0003000 0.0001644 0.0001620
695: 10 2 8 0 10 9 1 8 1 9 121.5831700 -0.0003000 -0.0001680 -0.0001691
696: 10 3 8 0 10 9 2 8 1 9 121.6752900 -0.0003000 0.0000178 0.0000168
697: 10 2 8 1 10 9 1 8 0 9 121.8856400 -0.0003000 0.0003177 0.0003090
698: 10 3 8 1 10 9 2 8 0 9 121.9766500 -0.0003000 -0.0001741 -0.0001830
699: 10 1 9 0 10 9 0 9 1 9 122.5508400 -0.0003000 -0.0004743 -0.0004709 
700: 10 2 9 0 10 9 1 9 1 9 122.5508400 -0.0003000 -0.0004743 -0.0004709 
701: 10 1 9 1 10 9 0 9 0 9 122.8975600 -0.0003000 0.0002858 0.0002834 
702: 10 2 9 1 10 9 1 9 0 9 122.8975600 -0.0003000 0.0002858 0.0002834 
703: 10 6 5 0 10 9 5 5 1 9 123.6077300 -0.0003000 0.0000050 0.0000013
704: 10 6 5 1 10 9 5 5 0 9 123.8165400 -0.0003000 -0.0001173 -0.0001168
705: 9 8 1 0 9 8 7 1 1 8 124.3418300 -0.0003000 -0.0002947 -0.0002981 
706: 9 8 2 0 9 8 7 2 1 8 124.3418300 -0.0003000 -0.0002947 -0.0002981 
707: 9 8 1 1 9 8 7 1 0 8 124.5788800 -0.0003000 0.0000865 0.0000906
708: 9 8 2 1 9 8 7 2 0 8 124.5788800 -0.0003000 0.0000865 0.0000906
709: 10 6 4 0 10 9 5 5 0 9 125.3638600 -0.0003000 -0.0000216 -0.0000212
710: 11 5 6 0 11 10 4 6 1 10 125.9412100 -0.0003000 0.0002337 0.0002352
711: 11 5 6 1 11 10 4 6 0 10 126.1805600 -0.0003000 0.0000468 0.0000422
712: 8 5 3 0 8 7 2 5 1 7 126.4766000 -0.0003000 -0.0001781 -0.0001799
713: 8 5 3 1 8 7 2 5 0 7 126.7427800 -0.0003000 -0.0001131 -0.0001141
714: 10 7 4 1 10 9 6 3 1 9 127.9753500 -0.0003000 0.0000693 0.0000690
715: 10 7 3 1 10 9 6 3 0 9 128.1315700 -0.0003000 0.0001902 0.0001875
716: 10 7 4 0 10 9 6 4 1 9 128.3036400 -0.0003000 -0.0000786 -0.0000804
717: 10 7 3 0 10 9 6 4 0 9 128.4588100 -0.0003000 -0.0001816 -0.0001841
718: 10 7 4 1 10 9 6 4 0 9 128.5679900 -0.0003000 0.0001371 0.0001375
719: 11 6 5 0 11 10 5 5 1 10 129.0772300 -0.0003000 -0.0000075 -0.0000055
720: 11 4 7 0 11 10 3 7 1 10 129.1206400 -0.0003000 0.0000280 0.0000245
721: 11 6 5 1 11 10 5 5 0 10 129.2919100 -0.0003000 0.0000665 0.0000620
722: 11 4 7 1 11 10 3 7 0 10 129.3696700 -0.0003000 -0.0000737 -0.0000768
723: 9 9 0 0 9 8 8 0 1 8 129.5018900 -0.0003000 -0.0001601 -0.0001514
724: 9 9 1 0 9 8 8 1 1 8 129.5018900 -0.0003000 -0.0001601 -0.0001514
725: 9 9 0 1 9 8 8 0 0 8 129.7196700 -0.0003000 -0.0000552 -0.0000280
726: 9 9 1 1 9 8 8 1 0 8 129.7196700 -0.0003000 -0.0000552 -0.0000280
727: 11 5 7 0 11 10 4 7 1 10 132.2802400 -0.0003000 -0.0003959 -0.0004016
728: 11 3 8 0 11 10 2 8 1 10 132.4158600 -0.0003000 -0.0000879 -0.0000917
729: 11 5 7 1 11 10 4 7 0 10 132.5164300 -0.0003000 -0.0001635 -0.0001656
730: 11 3 8 1 11 10 2 8 0 10 132.6831900 -0.0003000 -0.0000238 -0.0000321
731: 11 4 8 0 11 10 3 8 1 10 132.8725000 -0.0003000 -0.0001795 -0.0001833
732: 11 4 8 1 11 10 3 8 0 10 133.1377900 -0.0003000 -0.0000431 -0.0000515
733: 10 8 2 0 10 9 7 2 1 9 133.5250500 -0.0003000 0.0002255 0.0002202
734: 10 8 3 0 10 9 7 3 1 9 133.5380300 -0.0003000 -0.0001179 -0.0001236
735: 10 8 3 0 10 9 7 2 0 9 133.6457400 -0.0003000 -0.0002395 -0.0002431
736: 10 8 2 1 10 9 7 3 1 9 133.6527700 -0.0003000 -0.0000687 -0.0000730
737: 10 8 2 0 10 9 7 3 0 9 133.6650700 -0.0003000 -0.0002882 -0.0002957
738: 11 6 6 0 11 10 5 6 1 10 133.6697400 -0.0003000 -0.0002295 -0.0002347
739: 10 8 2 1 10 9 7 2 0 9 133.7607000 -0.0003000 0.0000296 0.0000275
740: 10 8 3 1 10 9 7 3 0 9 133.7738200 -0.0003000 -0.0001239 -0.0001263
741: 11 2 9 0 11 10 1 9 1 10 133.9009400 -0.0003000 0.0001900 0.0001906
742: 11 3 9 0 11 10 2 9 1 10 133.9310700 -0.0003000 0.0000096 0.0000103
743: 11 2 9 1 11 10 1 9 0 10 134.2025700 -0.0003000 -0.0000274 -0.0000402
744: 11 3 9 1 11 10 2 9 0 10 134.2325400 -0.0003000 -0.0002081 -0.0002210
745: 11 1 10 0 11 10 0 10 1 10 134.8249000 -0.0003000 -0.0001285 -0.0001246 
746: 11 2 10 0 11 10 1 10 1 10 134.8249000 -0.0003000 -0.0001285 -0.0001246 
747: 11 1 10 1 11 10 0 10 0 10 135.1756000 -0.0003000 0.0001146 0.0001108
748: 11 2 10 1 11 10 1 10 0 10 135.1756000 -0.0003000 0.0001146 0.0001108
749: 11 7 4 0 11 10 6 4 1 10 136.4686600 -0.0003000 0.0001381 0.0001365
750: 11 7 4 1 11 10 6 4 0 10 136.6416600 -0.0003000 0.0000082 0.0000074
751: 11 7 5 0 11 10 6 5 1 10 137.5792000 -0.0003000 0.0001091 0.0001048
752: 11 7 5 1 11 10 6 5 0 10 137.7501600 -0.0003000 0.0005444 0.0005463
753: 12 6 6 0 12 11 5 6 1 11 137.9146200 -0.0003000 -0.0000627 -0.0000581
754: 12 5 7 0 12 11 4 7 1 11 138.0724600 -0.0003000 0.0001560 0.0001580
755: 12 6 6 1 12 11 5 6 0 11 138.1272900 -0.0003000 0.0000424 0.0000361
756: 12 5 7 1 12 11 4 7 0 11 138.3009500 -0.0003000 0.0001895 0.0001859
757: 10 9 1 0 10 9 8 1 1 9 138.7392000 -0.0003000 -0.0000568 -0.0000681
758: 10 9 2 0 10 9 8 2 1 9 138.7392000 -0.0003000 -0.0000568 -0.0000681
759: 10 9 1 1 10 9 8 1 0 9 138.9545700 -0.0003000 0.0001395 0.0001508 
760: 10 9 2 1 10 9 8 2 0 9 138.9545700 -0.0003000 0.0001395 0.0001508 
761: 9 5 4 1 9 8 2 6 0 8 141.4582500 -0.0003000 -0.0002923 -0.0002960
762: 12 4 8 0 12 11 3 8 1 11 142.3843000 -0.0003000 0.0006388 0.0006365
763: 11 8 3 0 11 10 7 3 1 10 142.5853700 -0.0003000 0.0001584 0.0001525
764: 12 4 8 1 12 11 3 8 0 11 142.6216200 -0.0003000 0.0000807 0.0000771
765: 11 8 4 0 11 10 7 4 1 10 142.6289800 -0.0003000 -0.0000287 -0.0000327
766: 11 8 4 0 11 10 7 3 0 10 142.7379800 -0.0003000 0.0001100 0.0001088
767: 11 8 3 1 11 10 7 4 1 10 142.7595800 -0.0003000 0.0000820 0.0000750
768: 11 8 4 1 11 10 7 4 0 10 142.9120600 -0.0003000 0.0001561 0.0001546
769: 10 10 0 0 10 9 9 0 1 9 143.7877500 -0.0003000 -0.0007180 -0.0007057 
770: 10 10 1 0 10 9 9 1 1 9 143.7877500 -0.0003000 -0.0007180 -0.0007057 
771: 10 10 0 1 10 9 9 0 0 9 143.9834900 -0.0003000 -0.0003968 -0.0003545 
772: 10 10 1 1 10 9 9 1 0 9 143.9834900 -0.0003000 -0.0003968 -0.0003545 
773: 12 5 8 0 12 11 4 8 1 11 144.0087400 -0.0003000 -0.0001208 -0.0001249
774: 12 5 8 1 12 11 4 8 0 11 144.2394900 -0.0003000 0.0000264 0.0000244
775: 12 6 7 0 12 11 5 7 1 11 144.2560400 -0.0003000 0.0001103 0.0001047
776: 12 7 5 0 12 11 6 5 1 11 144.4079300 -0.0003000 -0.0001066 -0.0001064
777: 12 6 7 1 12 11 5 7 0 11 144.4583400 -0.0003000 0.0001338 0.0001372
778: 12 7 5 1 12 11 6 5 0 11 144.5842400 -0.0003000 0.0002078 0.0002064
779: 12 3 9 0 12 11 2 9 1 11 144.8852900 -0.0003000 0.0001611 0.0001610
780: 12 4 9 0 12 11 3 9 1 11 145.0576100 -0.0003000 -0.0001325 -0.0001325
781: 12 3 9 1 12 11 2 9 0 11 145.1476600 -0.0003000 -0.0000542 -0.0000650
782: 12 4 9 1 12 11 3 9 0 11 145.3193000 -0.0003000 -0.0001490 -0.0001593
783: 12 2 10 0 12 11 1 10 1 11 146.1609500 -0.0003000 0.0001360 0.0001403
784: 12 3 10 0 12 11 2 10 1 11 146.1705400 -0.0003000 0.0001229 0.0001272
785: 12 2 10 1 12 11 1 10 0 11 146.4637800 -0.0003000 0.0002077 0.0001936
786: 12 3 10 1 12 11 2 10 0 11 146.4734500 -0.0003000 0.0003312 0.0003172
787: 12 7 6 0 12 11 6 6 1 11 147.0642100 -0.0003000 0.0001091 0.0001035
788: 12 1 11 0 12 11 0 11 1 11 147.0782500 -0.0003000 -0.0000229 -0.0000171 
789: 12 2 11 0 12 11 1 11 1 11 147.0782500 -0.0003000 -0.0000229 -0.0000171 
790: 12 7 6 1 12 11 6 6 0 11 147.2339300 -0.0003000 -0.0001022 -0.0000969
791: 12 1 11 1 12 11 0 11 0 11 147.4363800 -0.0003000 -0.0000210 -0.0000228 
792: 12 2 11 1 12 11 1 11 0 11 147.4363800 -0.0003000 -0.0000210 -0.0000228 
793: 11 9 3 0 11 10 8 3 1 10 147.9236800 -0.0003000 0.0000110 -0.0000051 
794: 11 9 2 0 11 10 8 2 1 10 147.9236800 -0.0003000 0.0000110 -0.0000051 
795: 11 9 2 1 11 10 8 2 0 10 148.1349000 -0.0003000 0.0000088 0.0000084 
796: 11 9 3 1 11 10 8 3 0 10 148.1349000 -0.0003000 0.0000088 0.0000084 
797: 13 6 7 0 13 12 5 7 1 12 148.1465500 -0.0003000 0.0000766 0.0000839
798: 13 6 7 1 13 12 5 7 0 12 148.3528800 -0.0003000 0.0002363 0.0002302
799: 13 5 8 0 13 12 4 8 1 12 151.2540800 -0.0003000 -0.0000517 -0.0000481
800: 12 8 4 0 12 11 7 4 1 11 151.3430300 -0.0003000 -0.0000595 -0.0000644
801: 12 8 5 1 12 11 7 4 1 11 151.4700300 -0.0003000 0.0001458 0.0001451
802: 13 5 8 1 13 12 4 8 0 12 151.4700300 -0.0003000 0.0001458 0.0001451
803: 12 8 4 1 12 11 7 4 0 11 151.5959200 -0.0003000 0.0002025 0.0002003
804: 12 8 5 0 12 11 7 5 1 11 151.8298400 -0.0003000 0.0008663 0.0008636
805: 12 8 4 0 12 11 7 5 0 11 151.9527400 -0.0003000 -0.0001347 -0.0001363
806: 12 8 5 1 12 11 7 5 0 11 152.0808500 -0.0003000 0.0002134 0.0002164
807: 13 7 6 0 13 12 6 6 1 12 152.1116600 -0.0003000 0.0000938 0.0000980
808: 13 7 6 1 13 12 6 6 0 12 152.2893500 -0.0003000 -0.0001075 -0.0001115
809: 11 10 1 0 11 10 9 1 1 10 153.0125600 -0.0003000 0.0001581 0.0001324 
810: 11 10 2 0 11 10 9 2 1 10 153.0125600 -0.0003000 0.0001581 0.0001324 
811: 11 10 1 1 11 10 9 1 0 10 153.2050300 -0.0003000 -0.0001877 -0.0001621
812: 11 10 2 1 11 10 9 2 0 10 153.2050300 -0.0003000 -0.0001877 -0.0001621
813: 13 4 9 0 13 12 3 9 1 12 155.2702200 -0.0003000 0.0000453 0.0000479
814: 13 6 8 0 13 12 5 8 1 12 155.3723600 -0.0003000 0.0001365 0.0001331
815: 13 4 9 1 13 12 3 9 0 12 155.4986400 -0.0003000 -0.0000179 -0.0000208
816: 13 6 8 1 13 12 5 8 0 12 155.5693100 -0.0003000 0.0000223 0.0000284
817: 10 6 4 0 10 9 3 6 1 9 155.6215100 -0.0003000 0.0002766 0.0002750
818: 13 5 9 0 13 12 4 9 1 12 155.9940700 -0.0003000 0.0001685 0.0001701
819: 13 5 9 1 13 12 4 9 0 12 156.2187800 -0.0003000 -0.0000938 -0.0000944
820: 13 7 7 0 13 12 6 7 1 12 156.9247000 -0.0003000 0.0001622 0.0001566
821: 12 9 3 0 12 11 8 3 1 11 157.0225900 -0.0003000 0.0000167 0.0000061
822: 12 9 4 0 12 11 8 4 1 11 157.0366700 -0.0003000 0.0000926 0.0000808
823: 13 7 7 1 13 12 6 7 0 12 157.0920000 -0.0003000 0.0000620 0.0000705
824: 12 9 3 1 12 11 8 3 0 11 157.2347000 -0.0003000 -0.0000633 -0.0000698
825: 12 9 4 1 12 11 8 4 0 11 157.2487300 -0.0003000 0.0000281 0.0000209
826: 13 4 10 0 13 12 3 10 1 12 157.2587900 -0.0003000 0.0000684 0.0000755
827: 13 3 10 1 13 12 2 10 0 12 157.4565100 -0.0003000 0.0000013 -0.0000077
828: 13 4 10 1 13 12 3 10 0 12 157.5174900 -0.0003000 -0.0000773 -0.0000856
829: 11 11 0 0 11 10 10 0 1 10 157.9415000 -0.0003000 -0.0001155 -0.0000974
830: 11 11 1 0 11 10 10 1 1 10 157.9415000 -0.0003000 -0.0001155 -0.0000974
831: 11 11 0 1 11 10 10 0 0 10 158.1146400 -0.0003000 -0.0005393 -0.0004817
832: 11 11 1 1 11 10 10 1 0 10 158.1146400 -0.0003000 -0.0005393 -0.0004817
833: 13 2 11 0 13 12 1 11 1 12 158.3834800 -0.0003000 0.0000239 0.0000338 
834: 13 3 11 0 13 12 2 11 1 12 158.3834800 -0.0003000 0.0000239 0.0000338 
835: 13 2 11 1 13 12 1 11 0 12 158.6868100 -0.0003000 -0.0003026 -0.0003100 
836: 13 3 11 1 13 12 2 11 0 12 158.6868100 -0.0003000 -0.0003026 -0.0003100 
837: 13 1 12 0 13 12 0 12 1 12 159.3121800 -0.0003000 0.0000818 0.0000915 
838: 13 2 12 0 13 12 1 12 1 12 159.3121800 -0.0003000 0.0000818 0.0000915 
839: 13 1 12 1 13 12 0 12 0 12 159.6785900 -0.0003000 -0.0000359 -0.0000282 
840: 13 2 12 1 13 12 1 12 0 12 159.6785900 -0.0003000 -0.0000359 -0.0000282 
841: 13 8 5 0 13 12 7 5 1 12 159.8526900 -0.0003000 0.0001703 0.0001702
842: 14 6 8 0 14 13 5 8 1 13 159.9360600 -0.0003000 -0.0000114 -0.0000016
843: 13 8 5 1 13 12 7 5 0 12 159.9877200 -0.0003000 -0.0000860 -0.0000840
844: 14 6 8 1 14 13 5 8 0 13 160.1310700 -0.0003000 -0.0001492 -0.0001525
845: 14 7 7 0 14 13 6 7 1 13 160.4477900 -0.0003000 -0.0000348 -0.0000265
846: 13 8 6 0 13 12 7 6 1 12 160.9710400 -0.0003000 0.0000051 0.0000007
847: 13 8 6 1 13 12 7 6 0 12 161.1033500 -0.0003000 -0.0000987 -0.0000930
848: 12 10 2 0 12 11 9 2 1 11 162.1848900 -0.0003000 0.0002154 0.0001789 
849: 12 10 3 0 12 11 9 3 1 11 162.1848900 -0.0003000 0.0002154 0.0001789 
850: 12 10 2 1 12 11 9 2 0 11 162.3744500 -0.0003000 -0.0001988 -0.0001939 
851: 12 10 3 1 12 11 9 3 0 11 162.3744500 -0.0003000 -0.0001988 -0.0001939 
852: 14 5 9 0 14 13 4 9 1 13 164.6540100 -0.0003000 0.0001455 0.0001533
853: 14 5 9 1 14 13 4 9 0 13 164.8552400 -0.0003000 0.0000864 0.0000884
854: 13 9 4 0 13 12 8 4 1 12 165.9791300 -0.0003000 -0.0000216 -0.0000276
855: 13 9 5 0 13 12 8 5 1 12 166.0127500 -0.0003000 -0.0001084 -0.0001111
856: 13 9 4 1 13 12 8 5 1 12 166.1307400 -0.0003000 0.0000065 -0.0000067
857: 13 9 5 0 13 12 8 4 0 12 166.1406200 -0.0003000 -0.0000004 0.0000015
858: 13 9 4 1 13 12 8 4 0 12 166.2585400 -0.0003000 0.0000445 0.0000360
859: 13 9 5 1 13 12 8 5 0 12 166.2915400 -0.0003000 -0.0003743 -0.0003782
860: 14 6 9 0 14 13 5 9 1 13 166.9282500 -0.0003000 0.0001506 0.0001533
861: 14 6 9 1 14 13 5 9 0 13 167.1188700 -0.0003000 -0.0001258 -0.0001163
862: 12 11 1 0 12 11 10 1 1 11 167.1502400 -0.0003000 -0.0002123 -0.0002579 
863: 12 11 2 0 12 11 10 2 1 11 167.1502400 -0.0003000 -0.0002123 -0.0002579 
864: 14 7 8 0 14 13 6 8 1 13 167.2835800 -0.0003000 0.0002185 0.0002144
865: 12 11 1 1 12 11 10 1 0 11 167.3212500 -0.0003000 -0.0002690 -0.0002177
866: 12 11 2 1 12 11 10 2 0 11 167.3212500 -0.0003000 -0.0002690 -0.0002177
867: 14 8 6 0 14 13 7 6 1 13 167.6375100 -0.0003000 0.0001588 0.0001618
868: 14 8 6 1 14 13 7 6 0 13 167.7757900 -0.0003000 -0.0000098 -0.0000088
869: 14 4 10 0 14 13 3 10 1 13 167.8046400 -0.0003000 0.0001484 0.0001595
870: 14 4 10 1 14 13 3 10 0 13 168.0255900 -0.0003000 0.0000889 0.0000897
871: 14 5 10 0 14 13 4 10 1 13 168.0976900 -0.0003000 0.0001411 0.0001520
872: 14 5 10 1 14 13 4 10 0 13 168.3169500 -0.0003000 -0.0000653 -0.0000616
873: 14 3 11 0 14 13 2 11 1 13 169.4188000 -0.0003000 0.0001017 0.0001172
874: 14 4 11 0 14 13 3 11 1 13 169.4397700 -0.0003000 0.0001430 0.0001588
875: 14 3 11 1 14 13 2 11 0 13 169.6753400 -0.0003000 -0.0001638 -0.0001621
876: 14 4 11 1 14 13 3 11 0 13 169.6963200 -0.0003000 0.0000169 0.0000193
877: 15 7 8 0 15 14 6 8 1 14 170.1543800 -0.0003000 0.0001766 0.0001864
878: 14 8 7 0 14 13 7 7 1 13 170.2815500 -0.0003000 -0.0001006 -0.0001054
879: 15 7 8 1 15 14 6 8 0 14 170.3268400 -0.0003000 0.0002034 0.0001966
880: 14 8 7 1 14 13 7 7 0 13 170.4133200 -0.0003000 -0.0001501 -0.0001406
881: 14 2 12 0 14 13 1 12 1 13 170.5700600 -0.0003000 0.0000406 0.0000556 
882: 14 3 12 0 14 13 2 12 1 13 170.5700600 -0.0003000 0.0000406 0.0000556 
883: 14 2 12 1 14 13 1 12 0 13 170.8775700 -0.0003000 -0.0002358 -0.0002214 
884: 14 3 12 1 14 13 2 12 0 13 170.8775700 -0.0003000 -0.0002358 -0.0002214 
885: 13 10 3 0 13 12 9 3 1 12 171.2886500 -0.0003000 0.0000893 0.0000630 
886: 13 10 4 0 13 12 9 4 1 12 171.2886500 -0.0003000 0.0000893 0.0000630 
887: 13 10 3 1 13 12 9 3 0 12 171.4741100 -0.0003000 -0.0001915 -0.0002065 
888: 13 10 4 1 13 12 9 4 0 12 171.4741100 -0.0003000 -0.0001915 -0.0002065 
889: 14 1 13 0 14 13 0 13 1 13 171.5249800 -0.0003000 -0.0006901 -0.0006735 
890: 14 2 13 0 14 13 1 13 1 13 171.5249800 -0.0003000 -0.0006901 -0.0006735 
891: 14 1 13 1 14 13 0 13 0 13 171.9022200 -0.0003000 0.0001240 0.0001552 
892: 14 2 13 1 14 13 1 13 0 13 171.9022200 -0.0003000 0.0001240 0.0001552 
893: 12 12 0 0 12 11 11 0 1 11 171.9513300 -0.0003000 0.0000239 0.0000551 
894: 12 12 1 0 12 11 11 1 1 11 171.9513300 -0.0003000 0.0000239 0.0000551 
895: 12 12 0 1 12 11 11 0 0 11 172.1030900 -0.0003000 -0.0007155 -0.0006494
896: 12 12 1 1 12 11 11 1 0 11 172.1030900 -0.0003000 -0.0007155 -0.0006494
897: 15 6 9 0 15 14 5 9 1 14 172.9765500 -0.0003000 0.0001703 0.0001819
898: 15 6 9 1 15 14 5 9 0 14 173.1573500 -0.0003000 0.0001221 0.0001209
899: 14 9 5 0 14 13 8 5 1 13 174.6144700 -0.0003000 -0.0002189 -0.0002232
900: 14 9 6 1 14 13 8 5 1 13 174.7560000 -0.0003000 -0.0001155 -0.0001143
901: 14 9 5 1 14 13 8 5 0 13 174.8489200 -0.0003000 -0.0000978 -0.0001031
902: 15 8 7 0 15 14 7 7 1 14 175.0359000 -0.0003000 0.0000162 0.0000208
903: 14 9 6 0 14 13 8 6 1 13 175.1221800 -0.0003000 -0.0001378 -0.0001349
904: 15 8 7 1 15 14 7 7 0 14 175.1772100 -0.0003000 -0.0001551 -0.0001593
905: 14 9 5 0 14 13 8 6 0 13 175.2142000 -0.0003000 -0.0000074 -0.0000071
906: 14 9 6 1 14 13 8 6 0 13 175.3557200 -0.0003000 0.0000860 0.0000917
907: 13 11 2 0 13 12 10 2 1 12 176.3079700 -0.0003000 0.0001525 0.0000826 
908: 13 11 3 0 13 12 10 3 1 12 176.3079700 -0.0003000 0.0001525 0.0000826 
909: 13 11 2 1 13 12 10 2 0 12 176.4758600 -0.0003000 -0.0001343 -0.0001174 
910: 13 11 3 1 13 12 10 3 0 12 176.4758600 -0.0003000 -0.0001343 -0.0001174 
911: 15 5 10 0 15 14 4 10 1 14 177.6937600 -0.0003000 -0.0002147 -0.0002015
912: 15 5 10 1 15 14 4 10 0 14 177.8834000 -0.0003000 -0.0000703 -0.0000668
913: 15 7 9 0 15 14 6 9 1 14 178.1722200 -0.0003000 -0.0001391 -0.0001411
914: 15 7 9 1 15 14 6 9 0 14 178.3308700 -0.0003000 0.0001617 0.0001739
915: 15 6 10 0 15 14 5 10 1 14 178.7775200 -0.0003000 0.0000086 0.0000187
916: 15 6 10 1 15 14 5 10 0 14 178.9614700 -0.0003000 -0.0002424 -0.0002309
917: 15 8 8 0 15 14 7 8 1 14 179.9247900 -0.0003000 0.0000734 0.0000666
918: 15 8 8 1 15 14 7 8 0 14 180.0547100 -0.0003000 0.0002787 0.0002878
919: 15 4 11 0 15 14 3 11 1 14 180.1167800 -0.0003000 -0.0000459 -0.0000274
920: 15 5 11 0 15 14 4 11 1 14 180.2282900 -0.0003000 0.0001087 0.0001276
921: 14 10 4 0 14 13 9 4 1 13 180.2915600 -0.0003000 -0.0001518 -0.0001547
922: 14 10 5 0 14 13 9 5 1 13 180.3042400 -0.0003000 0.0000632 0.0000584
923: 15 4 11 1 15 14 3 11 0 14 180.3320500 -0.0003000 0.0002252 0.0002347
924: 15 5 11 1 15 14 4 11 0 14 180.4425400 -0.0003000 -0.0000034 0.0000093
925: 14 10 4 1 14 13 9 4 0 13 180.4806500 -0.0003000 -0.0000918 -0.0001202
926: 14 10 5 1 14 13 9 5 0 13 180.4933300 -0.0003000 0.0001977 0.0001679
927: 13 12 1 0 13 12 11 1 1 12 181.1434200 -0.0003000 -0.0001639 -0.0002278 
928: 13 12 2 0 13 12 11 2 1 12 181.1434200 -0.0003000 -0.0001639 -0.0002278 
929: 13 12 1 1 13 12 11 1 0 12 181.2931300 -0.0003000 -0.0006508 -0.0005542 
930: 13 12 2 1 13 12 11 2 0 12 181.2931300 -0.0003000 -0.0006508 -0.0005542 
931: 15 3 12 0 15 14 2 12 1 14 181.5801100 -0.0003000 0.0001778 0.0001970
932: 15 4 12 0 15 14 3 12 1 14 181.5866600 -0.0003000 -0.0001869 -0.0001675
933: 15 3 12 1 15 14 2 12 0 14 181.8353300 -0.0003000 0.0001206 0.0001487
934: 15 4 12 1 15 14 3 12 0 14 181.8421400 -0.0003000 0.0000629 0.0000917
935: 15 2 13 0 15 14 1 13 1 14 182.7282200 -0.0003000 -0.0000630 -0.0000482 
936: 15 3 13 0 15 14 2 13 1 14 182.7282200 -0.0003000 -0.0000630 -0.0000482 
937: 16 8 8 0 16 15 7 8 1 15 182.8643300 -0.0003000 -0.0000340 -0.0000362
938: 15 9 6 0 15 14 8 6 1 14 183.0339400 -0.0003000 0.0008818 0.0008876
939: 15 2 13 1 15 14 1 13 0 14 183.0395600 -0.0003000 0.0000727 0.0001344 
940: 15 3 13 1 15 14 2 13 0 14 183.0395600 -0.0003000 0.0000727 0.0001344 
941: 15 9 6 1 15 14 8 6 0 14 183.1327300 -0.0003000 0.0000347 0.0000330
