Table S7 
Observed and calculated wavenumbers and frequencies of the assigned transitions of ND2H,
ordered by increasing energy.
The vibration quantum number for the upper and lower states of transition, VU and VL,
are in the first and fifth columns; 0 and 1 indicate symmetric and antisymmetric with respect to inversion.
The transitions marked by *** are discarded in the last cycle of refinement.


  VU   JU   KUA  KUC    VL   JL   KLA  KLC    OBS/CM-1     CALC/CM-1   O-C/CM-1       OBS/MHz    O-C/MHz    UNC/MHz
   0   12    2   11      0   11    1   10    96.810933     96.810953  -0.000020    2902318.757    -0.587     2.998
   1   12    1   11      1   11    2   10    96.810933     96.810953  -0.000020    2902318.757    -0.587     2.998
   1   12    2   11      1   11    1   10    96.812629     96.812695  -0.000066    2902369.601    -1.972     2.998
   1    8    2    6      0    7    1    6    96.864635     96.864644  -0.000009    2903928.702    -0.268     1.499
   1    8    2    6      0    7    1    6    96.864659     96.864644   0.000015    2903929.421     0.452     2.998
   0    6    4    2      1    5    1    4    97.060348     97.060360  -0.000012    2909796.030    -0.368     1.499
   0    6    4    2      1    5    1    4    97.060358     97.060360  -0.000002    2909796.330    -0.068     2.998
   0    8    3    6      1    7    2    6    97.251633     97.251639  -0.000006    2915530.610    -0.173     1.499
   0    8    3    6      1    7    2    6    97.251669     97.251639   0.000030    2915531.689     0.906     2.998
   1    6    4    2      0    5    1    4    97.356132     97.356186  -0.000054    2918663.411    -1.615     2.998
   1    6    4    2      0    5    1    4    97.356206     97.356186   0.000020    2918665.630     0.603     1.499
   0    8    4    5      1    7    3    5    97.415691     97.415703  -0.000012    2920448.945    -0.361     1.499
   0    8    4    5      1    7    3    5    97.415720     97.415703   0.000017    2920449.815     0.508     2.998
   1   15    6   10      0   15    3   12    97.449736     97.449959  -0.000223    2921469.589    -6.683     2.998
   0    8    5    3      1    7    4    3    97.534944     97.534956  -0.000012    2924024.060    -0.353     2.998
   0    8    5    3      1    7    4    3    97.534955     97.534956  -0.000001    2924024.390    -0.024     1.499
   1    8    3    6      0    7    2    6    97.555141     97.555142  -0.000001    2924629.551    -0.024     1.499
   1    8    3    6      0    7    2    6    97.555149     97.555142   0.000007    2924629.791     0.216     2.998
   0   17    5   13      1   16    6   11    97.584838     97.585087  -0.000249    2925519.845    -7.458     2.998
   1    8    4    5      0    7    3    5    97.691973     97.691970   0.000003    2928731.671     0.086     1.499
   1    8    4    5      0    7    3    5    97.692015     97.691970   0.000045    2928732.930     1.345     2.998
   1   17    5   13      0   16    6   11    97.757046     97.756945   0.000101    2930682.511     3.025     2.998
   1    8    5    3      0    7    4    3    97.785099     97.785087   0.000012    2931523.518     0.368     1.499
   1    8    5    3      0    7    4    3    97.785179     97.785087   0.000092    2931525.917     2.766     2.998
   0   20    8   12      1   20    7   14    97.862323     97.862331  -0.000008    2933838.636    -0.254     2.998
   0   12    5    7      1   11    6    5    97.896500     97.896601  -0.000101    2934863.236    -3.029     2.998
   0   12    5    7      1   11    6    5    97.896543     97.896601  -0.000058    2934864.526    -1.740     1.499
   1   11    4    7      1   10    5    6    97.903091     97.903011   0.000080    2935060.830     2.387     2.998
   0    8    1    7      1    7    0    7    97.924792     97.924827  -0.000035    2935711.409    -1.053     1.499
   0    8    1    7      1    7    0    7    97.924875     97.924827   0.000048    2935713.898     1.435     2.998
   0    8    2    7      1    7    1    7    97.965648     97.965699  -0.000051    2936936.241    -1.515     2.998
   0    8    2    7      1    7    1    7    97.965665     97.965699  -0.000034    2936936.751    -1.006     1.499
   1   12    5    7      0   11    6    5    98.104066     98.104090  -0.000024    2941085.909    -0.719     2.998
   0   17    4   13      1   16    5   11    98.168488     98.168413   0.000075    2943017.232     2.252     2.998
   1    8    1    7      0    7    0    7    98.261140     98.261141  -0.000001    2945794.869    -0.039     1.499
   1    8    1    7      0    7    0    7    98.261240     98.261141   0.000099    2945797.867     2.959     2.998
   1    8    2    7      0    7    1    7    98.301851     98.301845   0.000006    2947015.354     0.189     1.499
   1    8    2    7      0    7    1    7    98.301880     98.301845   0.000035    2947016.223     1.058     2.998
   0   11    3    8      0   10    4    7    98.339184     98.339170   0.000014    2948134.569     0.427     2.998
   1   11    3    8      1   10    4    7    98.339184     98.339170   0.000014    2948134.569     0.427     2.998
   1   17    4   13      0   16    5   11    98.342100     98.342271  -0.000171    2948221.988    -5.112     2.998
   0   15    8    8      1   14    9    6    98.597219     98.597172   0.000047    2955870.264     1.424     2.998
   0   15    8    8      0   14    9    5    98.738704     98.738663   0.000041    2960111.877     1.217     2.998
   1    7    3    4      1    6    2    5    98.773800     98.773792   0.000008    2961164.029     0.234     2.998
   0    7    3    4      0    6    2    5    98.788244     98.788348  -0.000104    2961597.049    -3.127     2.998
   1   15    8    8      0   14    9    6    98.830083     98.830178  -0.000095    2962851.351    -2.844     2.998
   0   11    7    4      1   11    4    8    98.997060     98.997080  -0.000020    2967857.195    -0.592     2.998
   1   11    7    4      0   11    4    8    99.196915     99.196841   0.000074    2973848.697     2.224     2.998
   0   13    1   13      0   12    0   12    99.340880     99.340904  -0.000024    2978164.660    -0.710     1.499
   0   13    0   13      0   12    1   12    99.340880     99.340904  -0.000024    2978164.660    -0.710     1.499
   0   13    1   13      0   12    0   12    99.340913     99.340904   0.000009    2978165.649     0.279     2.998
   0   13    0   13      0   12    1   12    99.340913     99.340904   0.000009    2978165.649     0.279     2.998
   1   13    0   13      1   12    1   12    99.347588     99.347557   0.000031    2978365.760     0.919     2.998
   1   13    1   13      1   12    0   12    99.347588     99.347557   0.000031    2978365.760     0.919     2.998
   1   13    1   13      1   12    0   12    99.347589     99.347557   0.000032    2978365.790     0.949     1.499
   1   13    0   13      1   12    1   12    99.347589     99.347557   0.000032    2978365.790     0.949     1.499
   0    9    8    2      1    9    5    4    99.477442     99.477529  -0.000087    2982258.685    -2.593     2.998
   0   14    4   10      1   14    3   12    99.702432     99.702411   0.000021    2989003.716     0.626     2.998
   0    5    4    2      1    4    1    4    99.740658     99.740729  -0.000071    2990149.702    -2.139     2.998
   0   17   11    7      1   16   12    5    99.763202     99.763127   0.000075    2990825.555     2.235     2.998
   1   17   11    7      0   16   12    5    99.911056     99.911151  -0.000095    2995258.106    -2.859     2.998
   0    8    5    4      1    7    4    4    99.925936     99.925939  -0.000003    2995704.197    -0.082     1.499
   0    8    5    4      1    7    4    4    99.926007     99.925939   0.000068    2995706.326     2.047     2.998
   1   14    4   10      0   14    3   12    99.943934     99.943944  -0.000010    2996243.764    -0.290     2.998
   1    5    4    2      0    4    1    4   100.040816    100.040837  -0.000021    2999148.213    -0.641     2.998
   0   14    5   10      1   14    2   12   100.068170    100.068156   0.000014    2999968.265     0.418     2.998
   1    8    5    4      0    7    4    4   100.172637    100.172632   0.000005    3003100.107     0.158     1.499
   1    8    5    4      0    7    4    4   100.172641    100.172632   0.000009    3003100.227     0.278     2.998
   1   18    5   14      0   17    6   12   100.215426    100.215439  -0.000013    3004382.889    -0.396     2.998
   0    5    4    1      0    4    1    4   100.235722    100.235593   0.000129    3004991.348     3.867     2.998
   0   18    4   14      1   17    5   12   100.279390    100.279506  -0.000116    3006300.481    -3.492     2.998
   1   11    4    8      1   10    3    7   100.305118    100.305142  -0.000024    3007071.788    -0.715     2.998
   1   14    5   10      0   14    2   12   100.308478    100.308445   0.000033    3007172.518     0.976     2.998
   0   11    4    8      0   10    3    7   100.311286    100.311346  -0.000060    3007256.700    -1.798     2.998
   0   11    4    8      0   10    3    7   100.311359    100.311346   0.000013    3007258.888     0.390     1.499
   0   15    6   10      1   14    7    8   100.323060    100.323216  -0.000156    3007609.675    -4.679     2.998
   1   18    4   14      0   17    5   12   100.446109    100.446236  -0.000127    3011298.591    -3.794     2.998
   0    5    5    0      1    4    2    2   100.457480    100.457545  -0.000065    3011639.485    -1.956     2.998
   1   15    6   10      0   14    7    8   100.480230    100.480320  -0.000090    3012321.513    -2.701     2.998
   0    7    7    0      1    6    6    0   100.574490*** 100.574327   0.000163    3015147.357     4.892     1.499
   0    7    7    1      1    6    6    1   100.574835    100.574752   0.000083    3015157.700     2.498     2.998
   0    7    7    0      1    6    6    0   100.574835    100.574752   0.000083    3015157.700     2.498     2.998
   0    7    7    1      1    6    6    1   100.575157    100.575177  -0.000020    3015167.353    -0.585     1.499
   1    5    5    1      1    4    2    2   100.597218    100.597164   0.000054    3015828.725     1.620     2.998
   0    5    5    1      0    4    2    2   100.610617    100.610711  -0.000094    3016230.417    -2.820     2.998
   1    7    7    1      1    6    6    0   100.699380*** 100.699556  -0.000176    3018891.465    -5.274     1.499
   1    7    7    1      1    6    6    0   100.699649    100.699556   0.000093    3018899.529     2.790     2.998
   1    7    7    0      1    6    6    1   100.700579    100.700718  -0.000139    3018927.410    -4.170     2.998
   1    7    7    0      1    6    6    1   100.700689    100.700718  -0.000029    3018930.708    -0.872     1.499
   0    7    7    1      0    6    6    0   100.710032    100.710073  -0.000041    3019210.804    -1.219     1.499
   0    7    7    1      0    6    6    0   100.710212    100.710073   0.000139    3019216.200     4.177     2.998
   0    7    7    0      0    6    6    1   100.711232    100.711232   0.000000    3019246.779    -0.012     2.998
   0    7    7    0      0    6    6    1   100.711304    100.711232   0.000072    3019248.937     2.146     1.499
   1    5    5    0      0    4    2    2   100.762258    100.762331  -0.000073    3020776.500    -2.201     2.998
   1    7    7    0      0    6    6    0   100.835659    100.835614   0.000045    3022977.007     1.342     1.499
   1    7    7    0      0    6    6    0   100.836046    100.836038   0.000008    3022988.609     0.244     2.998
   1    7    7    1      0    6    6    1   100.836046    100.836038   0.000008    3022988.609     0.244     2.998
   1    7    7    1      0    6    6    1   100.836377    100.836462  -0.000085    3022998.532    -2.534     1.499
   0   13    9    5      1   13    6    7   101.197114    101.197178  -0.000064    3033813.155    -1.905     2.998
   0   17    6   11      1   17    5   13   101.370558    101.370490   0.000068    3039012.875     2.043     2.998
   1   13    9    5      0   13    6    7   101.396717    101.396795  -0.000078    3039797.102    -2.334     2.998
   1   17    6   11      0   17    5   13   101.532592    101.532608  -0.000016    3043870.532    -0.492     2.998
   1    8    5    3      1    7    4    4   101.591407    101.591419  -0.000012    3045633.762    -0.359     2.998
   1    8    5    3      1    7    4    4   101.591420    101.591419   0.000001    3045634.151     0.031     1.499
   0    8    5    3      0    7    4    4   101.607268    101.607284  -0.000016    3046109.262    -0.494     2.998
   0    8    5    3      0    7    4    4   101.607293    101.607284   0.000009    3046110.012     0.256     1.499
   1   12    2   10      1   11    3    9   101.639835*** 101.639679   0.000156    3047085.597     4.677     1.499
   1   12    2   10      1   11    3    9   101.639949    101.639954  -0.000005    3047089.014    -0.147     2.998
   0   12    2   10      0   11    3    9   101.639949    101.639954  -0.000005    3047089.014    -0.147     2.998
   0   12    2   10      0   11    3    9   101.640375    101.640229   0.000146    3047101.785     4.381     1.499
   0   13    6    7      1   12    7    5   101.666498    101.666529  -0.000031    3047884.933    -0.934     2.998
   0   12    3   10      0   11    2    9   101.684279*** 101.684598  -0.000319    3048417.994    -9.578     1.499
   1   12    3   10      1   11    2    9   101.684279*** 101.684598  -0.000319    3048417.994    -9.578     1.499
   1   12    3   10      1   11    2    9   101.684536    101.684598  -0.000062    3048425.699    -1.873     2.998
   0   12    3   10      0   11    2    9   101.684536    101.684598  -0.000062    3048425.699    -1.873     2.998
   1   13    6    7      0   12    7    5   101.841015    101.841202  -0.000187    3053116.821    -5.615     2.998
   1    9    5    5      1    8    4    4   101.845975    101.846244  -0.000269    3053265.518    -8.063     2.998
   1    9    5    5      1    8    4    4   101.846086*** 101.846244  -0.000158    3053268.846    -4.736     1.499
   0    9    5    5      0    8    4    4   101.865518    101.865570  -0.000052    3053851.403    -1.554     2.998
   0    9    5    5      0    8    4    4   101.865522    101.865570  -0.000048    3053851.523    -1.434     1.499
   0   12    5    7      0   11    6    6   102.305401    102.305341   0.000060    3067038.763     1.799     2.998
   1   12    5    7      1   11    6    6   102.320265    102.320359  -0.000094    3067484.375    -2.830     2.998
   1   14    7    7      0   13    8    5   102.439193    102.439195  -0.000002    3071049.747    -0.049     2.998
   0   13    3   10      1   13    2   12   102.489166    102.489036   0.000130    3072547.899     3.904     2.998
   0   15    7    9      1   14    8    7   102.540301    102.540360  -0.000059    3074080.888    -1.764     2.998
   0   13    4   10      1   13    1   12   102.561196    102.561132   0.000064    3074707.304     1.906     2.998
   0   15    8    7      1   14    9    5   102.625944    102.626040  -0.000096    3076648.401    -2.871     2.998
   0   16    9    8      1   15   10    6   102.644528    102.644617  -0.000089    3077205.535    -2.680     2.998
   1   19    5   15      0   18    6   13   102.646333    102.646433  -0.000100    3077259.647    -2.993     2.998
   1   15    7    9      0   14    8    7   102.668492    102.668518  -0.000026    3077923.958    -0.775     2.998
   1   15    8    7      1   14    9    6   102.722354    102.722404  -0.000050    3079538.700    -1.490     2.998
   0   16    9    8      0   15   10    5   102.725891    102.725962  -0.000071    3079644.736    -2.132     2.998
   1   13    3   10      0   13    2   12   102.775923    102.776038  -0.000115    3081144.658    -3.446     2.998
   1   13    4   10      0   13    1   12   102.847881    102.847841   0.000040    3083301.905     1.190     2.998
   1   15    8    7      0   14    9    5   102.863875    102.863896  -0.000021    3083781.393    -0.617     2.998
   1   14    7    7      1   13    8    6   102.924318    102.924468  -0.000150    3085593.428    -4.502     2.998
   0    6    3    3      1    5    0    5   102.947222    102.947150   0.000072    3086280.073     2.169     2.998
   0    8    8    1      1    8    5    3   102.972002    102.972006  -0.000004    3087022.958    -0.125     2.998
   0    7    6    2      1    7    1    6   103.056647    103.056779  -0.000132    3089560.552    -3.950     2.998
   1    8    8    0      1    8    5    3   103.086583    103.086377   0.000206    3090458.010     6.161     2.998
   1    6    3    3      0    5    0    5   103.266896    103.266988  -0.000092    3095863.658    -2.747     2.998
   0   10    8    2      1   10    5    6   103.370150    103.370343  -0.000193    3098959.135    -5.784     2.998
   1   13    6    7      1   12    7    6   103.423836    103.423946  -0.000110    3100568.601    -3.302     2.998
   0   10    8    3      0   10    5    6   103.479124    103.479113   0.000011    3102226.094     0.328     2.998
   1   10    8    3      1   10    5    6   103.479124    103.479113   0.000011    3102226.094     0.328     2.998
   0    9    4    5      1    8    3    5   103.528899    103.528900  -0.000001    3103718.311    -0.044     1.499
   0    9    4    5      1    8    3    5   103.528899    103.528900  -0.000001    3103718.311    -0.044     2.998
   0   17    7   11      1   17    4   13   103.547013    103.547082  -0.000069    3104261.355    -2.062     2.998
   1   10    8    2      0   10    5    6   103.593952    103.593989  -0.000037    3105668.550    -1.121     2.998
   0    9    8    1      1    9    5    5   103.696218    103.696394  -0.000176    3108734.408    -5.289     2.998
   1   17    7   11      0   17    4   13   103.703732    103.703810  -0.000078    3108959.672    -2.329     2.998
   1    9    4    5      0    8    3    5   103.799839    103.799861  -0.000022    3111840.887    -0.657     2.998
   1    9    4    5      0    8    3    5   103.799877    103.799861   0.000016    3111842.027     0.483     1.499
   1    9    8    2      1    9    5    5   103.809264    103.809419  -0.000155    3112123.442    -4.655     2.998
   0    9    8    2      0    9    5    5   103.809264    103.809419  -0.000155    3112123.442    -4.655     2.998
   1    9    8    1      0    9    5    5   103.923308    103.923172   0.000136    3115542.395     4.074     2.998
   0   11    8    3      1   11    5    7   104.066046    104.066056  -0.000010    3119821.572    -0.286     2.998
   0   16    9    7      1   15   10    5   104.148706    104.148738  -0.000032    3122299.657    -0.965     2.998
   1   11    8    4      1   11    5    7   104.161926    104.162147  -0.000221    3122695.983    -6.635     2.998
   0   13    1   12      0   12    2   11   104.193724    104.193698   0.000026    3123649.263     0.789     2.998
   0   13    2   12      0   12    1   11   104.193724    104.193698   0.000026    3123649.263     0.789     2.998
   1   13    1   12      1   12    2   11   104.196397    104.196363   0.000034    3123729.397     1.034     2.998
   1   13    2   12      1   12    1   11   104.196397    104.196363   0.000034    3123729.397     1.034     2.998
   0    8    6    2      1    7    5    2   104.207142    104.207128   0.000014    3124051.524     0.421     1.499
   0    8    6    2      1    7    5    2   104.207150    104.207128   0.000022    3124051.764     0.661     2.998
   0    8    6    3      0    7    5    2   104.253775    104.253773   0.000002    3125449.546     0.056     2.998
   1   16    9    7      0   15   10    5   104.283076    104.283233  -0.000157    3126327.968    -4.699     2.998
   1   11    8    3      0   11    5    7   104.289265    104.289075   0.000190    3126513.510     5.691     2.998
   1    8    6    3      1    7    5    2   104.299363    104.299367  -0.000004    3126816.240    -0.118     1.499
   1    8    6    3      1    7    5    2   104.299388    104.299367   0.000021    3126816.990     0.632     2.998
   0    7    5    3      1    7    0    7   104.368888    104.368811   0.000077    3128900.547     2.305     2.998
   1    8    6    2      0    7    5    2   104.479986    104.480161  -0.000175    3132231.181    -5.255     2.998
   1    8    6    2      0    7    5    2   104.480179    104.480161   0.000018    3132236.967     0.531     1.499
   0    8    6    3      1    7    5    3   104.569149    104.569148   0.000001    3134904.221     0.040     1.499
   0    8    6    3      1    7    5    3   104.569215    104.569148   0.000067    3134906.200     2.019     2.998
   0   12    2   10      1   12    1   12   104.631660    104.631654   0.000006    3136778.254     0.193     2.998
   0   12    3   10      1   12    0   12   104.642296    104.642321  -0.000025    3137097.113    -0.745     2.998
   1    7    5    3      0    7    0    7   104.658751    104.658654   0.000097    3137590.421     2.909     2.998
   0    8    6    2      0    7    5    3   104.749292    104.749334  -0.000042    3140304.772    -1.265     2.998
   0    8    6    2      0    7    5    3   104.749333    104.749334  -0.000001    3140306.001    -0.036     1.499
   1    8    6    2      1    7    5    3   104.795510    104.795536  -0.000026    3141690.353    -0.774     1.499
   1    8    6    2      1    7    5    3   104.795557    104.795536   0.000021    3141691.762     0.635     2.998
   0   16    6   11      1   15    7    9   104.798175    104.798211  -0.000036    3141770.248    -1.067     2.998
   1    8    6    3      0    7    5    3   104.841569    104.841573  -0.000004    3143071.167    -0.125     1.499
   1    8    6    3      0    7    5    3   104.841631    104.841573   0.000058    3143073.026     1.734     2.998
   1   16    6   11      0   15    7    9   104.949547    104.949488   0.000059    3146308.266     1.766     2.998
   1   12    2   10      0   12    1   12   104.970452    104.970420   0.000032    3146934.982     0.961     2.998
   1   12    3   10      0   12    0   12   104.981053    104.981036   0.000017    3147252.792     0.499     2.998
   0    9    5    4      1    8    4    4   105.947960    105.947964  -0.000004    3176239.935    -0.134     1.499
   0    9    5    4      1    8    4    4   105.947972    105.947964   0.000008    3176240.295     0.226     2.998
   1    8    4    4      1    7    3    5   105.986357    105.986229   0.000128    3177391.048     3.833     2.998
   0    8    4    4      0    7    3    5   105.998993    105.998926   0.000067    3177769.866     2.015     2.998
   1    9    5    4      0    8    4    4   106.197751    106.197759  -0.000008    3183728.481    -0.225     1.499
   1    9    5    4      0    8    4    4   106.197753    106.197759  -0.000006    3183728.541    -0.165     2.998
   1   12    3    9      1   11    4    8   106.227678    106.227787  -0.000109    3184625.670    -3.281     2.998
   1   12    3    9      1   11    4    8   106.227810    106.227787   0.000023    3184629.627     0.677     1.499
   0   12    3    9      0   11    4    8   106.229490    106.229513  -0.000023    3184679.992    -0.693     1.499
   0   12    3    9      0   11    4    8   106.229512    106.229513  -0.000001    3184680.651    -0.033     2.998
   0   19    7   12      1   19    6   14   106.246418    106.246443  -0.000025    3185187.481    -0.757     2.998
   0   13    5    8      1   12    6    6   106.285963    106.285900   0.000063    3186373.010     1.875     2.998
   0   13    5    8      1   12    6    6   106.285971    106.285900   0.000071    3186373.250     2.115     1.499
   0   20    9   12      1   20    6   14   106.298849    106.298885  -0.000036    3186759.322    -1.085     2.998
   0   17   10    8      1   16   11    6   106.298849    106.298885  -0.000036    3186759.322    -1.085     2.998
   0   12    8    4      1   12    5    8   106.300455    106.300462  -0.000007    3186807.469    -0.222     2.998
   1   17   10    8      1   16   11    5   106.322435    106.322334   0.000101    3187466.413     3.018     2.998
   1   16    5   11      0   16    4   13   106.336384    106.336231   0.000153    3187884.593     4.585     2.998
   0   17   10    8      0   16   11    5   106.371807    106.371932  -0.000125    3188946.548    -3.746     2.998
   1   20    9   12      0   20    6   14   106.388270    106.388498  -0.000228    3189440.097    -6.838     2.998
   1   17   10    8      0   16   11    6   106.398569    106.398503   0.000066    3189748.853     1.993     2.998
   1   12    8    5      1   12    5    8   106.428291    106.428230   0.000061    3190639.896     1.816     2.998
   1   10    5    6      1    9    4    5   106.473882    106.473914  -0.000032    3192006.680    -0.946     2.998
   1   10    5    6      1    9    4    5   106.473959    106.473914   0.000045    3192008.988     1.362     1.499
   1   13    5    8      0   12    6    6   106.486995    106.486957   0.000038    3192399.798     1.128     1.499
   1   13    5    8      0   12    6    6   106.486998    106.486957   0.000041    3192399.888     1.217     2.998
   0   10    5    6      0    9    4    5   106.492112    106.492169  -0.000057    3192553.201    -1.695     2.998
   0    9    3    6      1    8    2    6   106.587294    106.587291   0.000003    3195406.686     0.098     1.499
   0    9    3    6      1    8    2    6   106.587331    106.587291   0.000040    3195407.795     1.207     2.998
   0   16   10    6      0   16    7    9   106.607700    106.607767  -0.000067    3196018.442    -2.011     2.998
   0   14    0   14      0   13    1   13   106.710516    106.710503   0.000013    3199100.789     0.393     2.998
   0   14    1   14      0   13    0   13   106.710516    106.710503   0.000013    3199100.789     0.393     2.998
   0   14    1   14      0   13    0   13   106.710582    106.710503   0.000079    3199102.767     2.371     1.499
   0   14    0   14      0   13    1   13   106.710582    106.710503   0.000079    3199102.767     2.371     1.499
   1   14    0   14      1   13    1   13   106.718020    106.718015   0.000005    3199325.753     0.151     2.998
   1   14    1   14      1   13    0   13   106.718020    106.718015   0.000005    3199325.753     0.151     2.998
   1   14    1   14      1   13    0   13   106.718071    106.718015   0.000056    3199327.282     1.680     1.499
   1   14    0   14      1   13    1   13   106.718071    106.718015   0.000056    3199327.282     1.680     1.499
   0   16    6   11      1   16    3   13   106.744601    106.744557   0.000044    3200122.631     1.333     2.998
   1    9    3    6      0    8    2    6   106.868990    106.869000  -0.000010    3203851.720    -0.313     1.499
   1    9    3    6      0    8    2    6   106.869057    106.869000   0.000057    3203853.728     1.696     2.998
   1   17   10    7      0   16   11    5   106.892065    106.891939   0.000126    3204543.491     3.768     2.998
   0    5    5    1      1    4    2    3   106.910729    106.910777  -0.000048    3205103.023    -1.447     2.998
   1   16    6   11      0   16    3   13   106.938921    106.938799   0.000122    3205948.198     3.645     2.998
   1   12    4    9      1   11    3    8   106.993102    106.993226  -0.000124    3207572.504    -3.722     1.499
   1   12    4    9      1   11    3    8   106.993142    106.993226  -0.000084    3207573.703    -2.523     2.998
   0   12    4    9      0   11    3    8   106.997333    106.997425  -0.000092    3207699.346    -2.761     2.998
   0   12    7    5      1   12    4    9   107.084938    107.084792   0.000146    3210325.678     4.376     2.998
   1    5    5    1      0    4    2    3   107.216672    107.216604   0.000068    3214274.964     2.051     2.998
   1   12    7    5      0   12    4    9   107.283758    107.283844  -0.000086    3216286.151    -2.565     2.998
   0    6    5    1      1    5    2    3   107.424660    107.424674  -0.000014    3220510.287    -0.418     2.998
   0    6    5    1      1    5    2    3   107.424739    107.424674   0.000065    3220512.655     1.951     1.499
   1    6    5    2      1    5    2    3   107.518721    107.518672   0.000049    3223330.165     1.469     2.998
   0    6    5    2      0    5    2    3   107.522900    107.522882   0.000018    3223455.448     0.548     2.998
   1    6    5    1      0    5    2    3   107.734646    107.734583   0.000063    3229803.434     1.885     2.998
   0   11    6    5      1   11    3    9   107.757481    107.757550  -0.000069    3230488.010    -2.075     2.998
   0   19   13    7      1   18   14    5   107.785847    107.785770   0.000077    3231338.401     2.297     2.998
   0   19   13    6      1   18   14    4   107.785847    107.785770   0.000077    3231338.401     2.297     2.998
   0   12    9    4      1   12    6    6   107.785847    107.785964  -0.000117    3231338.404    -3.506     2.998
   1   12    9    4      0   12    6    6   107.983484    107.983427   0.000057    3237263.409     1.715     2.998
   1   11    6    5      0   11    3    9   107.996323    107.996207   0.000116    3237648.313     3.482     2.998
   0   17    6   12      1   16    7   10   108.330019    108.330004   0.000015    3247652.267     0.463     2.998
   0   12    4    8      0   11    5    7   108.441797    108.441800  -0.000003    3251003.287    -0.093     2.998
   1   12    4    8      1   11    5    7   108.444447    108.444504  -0.000057    3251082.732    -1.695     2.998
   0   16    8    9      1   15    9    7   108.487911    108.487860   0.000051    3252385.750     1.537     2.998
   1   16    8    9      0   15    9    7   108.582732    108.582823  -0.000091    3255228.412    -2.722     2.998
   1    7    4    4      1    6    1    5   108.815990    108.815962   0.000028    3262221.311     0.847     2.998
   0    7    4    4      0    6    1    5   108.844464    108.844437   0.000027    3263074.940     0.813     2.998
   0    9    4    6      1    8    3    6   108.907683    108.907697  -0.000014    3264970.198    -0.411     1.499
   0    9    4    6      1    8    3    6   108.907803    108.907697   0.000106    3264973.796     3.186     2.998
   0   13    2   11      0   12    3   10   109.022283    109.022305  -0.000022    3268405.820    -0.667     1.499
   1   13    2   11      1   12    3   10   109.022283    109.022305  -0.000022    3268405.820    -0.667     1.499
   1   13    2   11      1   12    3   10   109.022348    109.022305   0.000043    3268407.768     1.282     2.998
   0   13    2   11      0   12    3   10   109.022348    109.022305   0.000043    3268407.768     1.282     2.998
   1   13    3   11      1   12    2   10   109.036256    109.036186   0.000070    3268824.720     2.111     2.998
   0   13    3   11      0   12    2   10   109.036256    109.036186   0.000070    3268824.720     2.111     2.998
   0    9    2    7      1    8    1    7   109.165213    109.165208   0.000005    3272690.753     0.141     1.499
   0    9    2    7      1    8    1    7   109.165263    109.165208   0.000055    3272692.252     1.640     2.998
   1    9    4    6      0    8    3    6   109.180485    109.180498  -0.000013    3273148.596    -0.391     1.499
   1    9    4    6      0    8    3    6   109.180574    109.180498   0.000076    3273151.265     2.277     2.998
   0    9    3    7      1    8    2    7   109.428628    109.428636  -0.000008    3280587.736    -0.242     1.499
   0    9    3    7      1    8    2    7   109.428645    109.428636   0.000009    3280588.246     0.268     2.998
   1    9    2    7      0    8    1    7   109.468530    109.468531  -0.000001    3281783.968    -0.024     1.499
   1    9    2    7      0    8    1    7   109.468612    109.468531   0.000081    3281786.427     2.434     2.998
   0   15    4   11      1   15    3   13   109.544010    109.544110  -0.000100    3284046.802    -2.996     2.998
   1    7    2    5      1    6    1    6   109.646947    109.646895   0.000052    3287132.775     1.569     2.998
   0    7    2    5      0    6    1    6   109.671102    109.671049   0.000053    3287856.924     1.578     2.998
   0   15    5   11      1   15    2   13   109.679853    109.679798   0.000055    3288119.272     1.639     2.998
   1    9    3    7      0    8    2    7   109.730857    109.730852   0.000005    3289648.334     0.161     1.499
   1    9    3    7      0    8    2    7   109.730872    109.730852   0.000020    3289648.784     0.610     2.998
   1   15    4   11      0   15    3   13   109.782210    109.782383  -0.000173    3291187.858    -5.176     2.998
   0    8    7    1      1    7    6    1   109.825646    109.825665  -0.000019    3292490.037    -0.561     1.499
   0    8    7    1      1    7    6    1   109.825751    109.825665   0.000086    3292493.184     2.587     2.998
   0    8    7    2      1    7    6    2   109.835805    109.835794   0.000011    3292794.596     0.322     1.499
   0    8    7    2      1    7    6    2   109.835858    109.835794   0.000064    3292796.185     1.911     2.998
   1   15    5   11      0   15    2   13   109.917297    109.917548  -0.000251    3295237.664    -7.526     2.998
   1    8    7    2      1    7    6    1   109.947585    109.947588  -0.000003    3296145.676    -0.084     2.998
   1    8    7    2      1    7    6    1   109.947617    109.947588   0.000029    3296146.635     0.875     1.499
   0   16    7   10      1   15    8    8   109.950539    109.950620  -0.000081    3296234.235    -2.424     2.998
   0    8    7    2      0    7    6    1   109.958578    109.958621  -0.000043    3296475.238    -1.274     1.499
   0    8    7    2      0    7    6    1   109.958671    109.958621   0.000050    3296478.026     1.514     2.998
   1    8    7    1      1    7    6    2   109.962156    109.962160  -0.000004    3296582.503    -0.116     2.998
   1    8    7    1      1    7    6    2   109.962205    109.962160   0.000045    3296583.972     1.353     1.499
   0    8    7    1      0    7    6    2   109.973190    109.973163   0.000027    3296913.294     0.818     1.499
