Table S7 
Observed and calculated wavenumbers and frequencies of the assigned transitions of ND2H,
ordered by increasing energy.
The vibration quantum number for the upper and lower states of transition, VU and VL,
are in the first and fifth columns; 0 and 1 indicate symmetric and antisymmetric with respect to inversion.
The transitions marked by *** are discarded in the last cycle of refinement.


  VU   JU   KUA  KUC    VL   JL   KLA  KLC    OBS/CM-1     CALC/CM-1   O-C/CM-1       OBS/MHz    O-C/MHz    UNC/MHz
   1   11    5    7      0   11    4    7     4.676461      4.676460   0.000001     140196.780     0.034     0.100
   0    8    4    5      1    8    3    5     5.865916      5.865917   0.000000     175855.750    -0.005     0.100
   1    2    1    1      1    2    0    2     5.931414      5.931413   0.000001     177819.325     0.044     0.050
   1    2    1    1      1    2    0    2     5.931426      5.931413   0.000014     177819.690     0.409     0.100
   0    2    1    1      0    2    0    2     5.934813      5.934810   0.000003     177921.203     0.089     0.050
   0    2    1    1      0    2    0    2     5.934825      5.934810   0.000015     177921.570     0.456     0.100
   0    2    2    1      1    2    1    1     6.110505      6.110503   0.000002     183188.330     0.072     0.100
   0   18    8   11      1   18    7   11     6.119978      6.119967   0.000011     183472.329     0.328     0.100
   1    8    4    5      0    8    3    5     6.137175      6.137173   0.000002     183987.870     0.062     0.100
   0   13    6    8      1   13    5    8     6.194895      6.194895   0.000000     185718.280    -0.010     0.100
   1   18    8   11      0   18    7   11     6.233592      6.233572   0.000021     186878.391     0.616     0.200
   1   13    6    8      0   13    5    8     6.387585      6.387581   0.000005     191494.990     0.141     0.100
   1    2    2    1      0    2    1    1     6.438047      6.438043   0.000004     193007.790     0.126     0.100
   0    5    3    3      1    5    2    3     6.735052      6.735050   0.000002     201911.780     0.057     0.100
   1    2    2    0      1    2    1    1     6.903838      6.903832   0.000007     206971.860     0.197     0.100
   0    2    2    0      0    2    1    1     6.910464      6.910459   0.000005     207170.500     0.140     0.100
   1    5    3    3      0    5    2    3     7.040095      7.040093   0.000002     211056.750     0.063     0.100
   1    3    2    1      1    3    1    2     7.079794      7.079790   0.000004     212246.870     0.120     0.100
   0    3    2    1      0    3    1    2     7.085283      7.085278   0.000005     212411.440     0.160     0.100
   0   10    5    6      1   10    4    6     8.083198      8.083200  -0.000002     242328.170    -0.073     0.100
   0   15    7    9      1   15    6    9     8.303329      8.303326   0.000003     248927.534     0.090     0.050
   1   10    5    6      0   10    4    6     8.320756      8.320756   0.000000     249449.989     0.002     0.100
   1   10    5    6      0   10    4    6     8.320758      8.320756   0.000002     249450.038     0.051     0.050
   1   10    5    6      0   10    4    6     8.320759      8.320756   0.000003     249450.080     0.093     0.100
   1   15    7    9      0   15    6    9     8.460508      8.460507   0.000001     253639.645     0.036     0.050
   1    4    2    2      1    4    1    3     8.940425      8.940421   0.000004     268027.200     0.113     0.100
   0    4    2    2      0    4    1    3     8.945323      8.945319   0.000004     268174.040     0.125     0.100
   0    7    4    4      1    7    3    4     9.490487      9.490488  -0.000001     284517.650    -0.032     0.100
   0    4    3    2      1    4    2    2     9.588792      9.588785   0.000007     287464.750     0.209     0.100
   1    7    4    4      0    7    3    4     9.767392      9.767388   0.000004     292819.050     0.117     0.100
   0    3    1    2      0    3    0    3     9.894041      9.894029   0.000013     296615.900     0.378     0.100
   1    4    3    2      0    4    2    2     9.896457      9.896457   0.000000     296688.330     0.003     0.100
   1    5    3    2      1    5    2    3    10.331024     10.331021   0.000002     309716.300     0.074     0.100
   0    5    3    2      0    5    2    3    10.339226     10.339222   0.000004     309962.210     0.135     0.100
   0   12    6    7      1   12    5    7    10.631632     10.631634  -0.000002     318728.295    -0.062     0.050
   0   12    6    7      1   12    5    7    10.631634     10.631634   0.000000     318728.360     0.003     0.100
   1   12    6    7      0   12    5    7    10.833475     10.833474   0.000001     324779.400     0.020     0.100
   1    2    2    1      1    2    1    2    11.080683     11.080674   0.000009     332190.510     0.259     0.100
   0    2    2    1      0    2    1    2    11.089203     11.089198   0.000005     332445.930     0.148     0.100
   1    1    1    1      1    0    0    0    11.189292     11.189286   0.000006     335446.530     0.189     0.100
   0    1    1    1      0    0    0    0    11.191543     11.191535   0.000008     335514.010     0.230     0.100
   0    2    2    0      1    2    1    2    11.553107     11.553091   0.000016     346353.430     0.483     0.100
   1    6    3    3      1    6    2    4    11.740876     11.740875   0.000001     351982.597     0.023     0.050
   1    2    2    0      0    2    1    2    11.882527     11.882527   0.000001     356229.210     0.023     0.100
   0    9    5    5      1    9    4    5    12.509837     12.509837   0.000000     375035.490     0.003     0.100
   0    1    1    0      1    0    0    0    12.625415     12.625417  -0.000002     378500.420    -0.061     0.100
   1    9    5    5      0    9    4    5    12.753791     12.753786   0.000005     382349.030     0.140     0.100
   1    5    2    3      1    5    1    4    12.787276     12.787274   0.000001     383352.880     0.036     0.100
   0    5    2    3      0    5    1    4    12.792299     12.792298   0.000001     383503.490     0.038     0.100
   1    1    1    0      0    0    0    0    12.964033     12.964030   0.000002     388651.920     0.074     0.100
   0    6    4    3      1    6    3    3    13.182863     13.182863   0.000000     395212.300     0.011     0.100
   1    7    4    3      1    7    3    4    13.562817     13.562817   0.000000     406603.010    -0.014     0.100
   0    7    4    3      0    7    3    4    13.573727     13.573721   0.000007     406930.110     0.207     0.100
   0    2    0    2      1    1    1    0    13.692496     13.692494   0.000002     410490.710     0.068     0.100
   1   14    7    8      0   14    6    8    13.705722     13.705723   0.000000     410887.220    -0.013     0.050
   1    2    0    2      0    1    1    0    14.030852     14.030850   0.000001     420634.350     0.034     0.100
   1    6    4    2      1    6    3    3    14.680227     14.680226   0.000001     440102.126     0.034     0.050
   0    3    3    0      1    3    2    2    14.756813     14.756812   0.000001     442398.115     0.032     0.050
   0    3    3    1      0    3    2    2    14.786808     14.786807   0.000001     443297.355     0.028     0.050
   1    3    3    1      1    3    2    2    14.820817     14.820817   0.000000     444316.915    -0.002     0.050
   1    7    3    4      1    7    2    5    15.378999     15.379001  -0.000002     461050.791    -0.045     0.050
   0    2    0    2      0    1    1    1    15.464985     15.464989  -0.000004     463628.590    -0.119     0.100
   1    2    0    2      1    1    1    1    15.466983     15.466982   0.000001     463688.490     0.034     0.100
   0   11    6    6      1   11    5    6    15.810215     15.810216  -0.000001     473978.330    -0.022     0.100
