 nu1  nu2  nu3a  nu3b  nu4a  nu4b  J  Ka  Kc inv      E"        E/Mhz
   0    0     0     0     0     0  6   5   2   s  265.261067   7952327.00
   0    0     0     0     0     0  6   5   1   s  265.319873   7954090.00
   0    0     0     0     0     0  6   5   2   a  265.413871   7956908.00
   0    0     0     0     0     0  6   5   1   a  265.472768   7958673.00
   0    0     0     0     0     0  7   2   5   s  281.400226   8436167.00
   0    0     0     0     0     0  7   2   5   a  281.550194   8440662.00
   0    0     0     0     0     0  7   3   5   s  283.413601   8496526.00
   0    0     0     0     0     0  7   3   5   a  283.559309   8500894.00
   0    0     0     0     0     0  8   0   8   s  288.791383   8657748.00
   0    0     0     0     0     0  8   1   8   s  288.792221   8657773.00
   0    0     0     0     0     0  8   0   8   a  288.971147   8663137.00
   0    0     0     0     0     0  8   1   8   a  288.971981   8663162.00
   0    0     0     0     0     0  6   6   1   s  295.185105   8849427.00
   0    0     0     0     0     0  6   6   0   s  295.186109   8849457.00
   0    0     0     0     0     0  6   6   1   a  295.321005   8853501.00
   0    0     0     0     0     0  6   6   0   a  295.322011   8853531.00
   0    0     0     0     0     0  7   3   4   s  296.784308   8897370.00
   0    0     0     0     0     0  7   3   4   a  296.929194   8901713.00
   0    0     0     0     0     0  7   4   4   s  306.419682   9186231.00
   0    0     0     0     0     0  7   4   4   a  306.551696   9190189.00
   0    0     0     0     0     0  7   4   3   s  310.358028   9304300.00
   0    0     0     0     0     0  7   4   3   a  310.492011   9308316.00
   0    0     0     0     0     0  8   1   7   s  324.630940   9732191.00
   0    0     0     0     0     0  8   2   7   s  324.675016   9733512.00
   0    0     0     0     0     0  8   1   7   a  324.790599   9736977.00
   0    0     0     0     0     0  8   2   7   a  324.834520   9738294.00
   0    0     0     0     0     0  7   5   3   s  331.074924   9925377.00
   0    0     0     0     0     0  7   5   3   a  331.188111   9928770.00
   0    0     0     0     0     0  7   5   2   s  331.503486   9938224.00
   0    0     0     0     0     0  7   5   2   a  331.617130   9941631.00
   0    0     0     0     0     0  8   2   6   s  354.151745  10617200.00
   0    0     0     0     0     0  8   2   6   a  354.298120  10621590.00
   0    0     0     0     0     0  8   3   6   s  354.985552  10642200.00
   0    0     0     0     0     0  8   3   6   a  355.129757  10646520.00
   0    0     0     0     0     0  9   0   9   s  358.494949  10747410.00
   0    0     0     0     0     0  9   1   9   s  358.495164  10747410.00
   0    0     0     0     0     0  9   0   9   a  358.678457  10752910.00
   0    0     0     0     0     0  9   1   9   a  358.678671  10752920.00
   0    0     0     0     0     0  7   6   2   s  360.649975  10812010.00
   0    0     0     0     0     0  7   6   1   s  360.662298  10812380.00
   0    0     0     0     0     0  7   6   2   a  360.785125  10816070.00
   0    0     0     0     0     0  7   6   1   a  360.797473  10816440.00
   0    0     0     0     0     0  8   3   5   s  374.968398  11241270.00
   0    0     0     0     0     0  8   3   5   a  375.109096  11245490.00
   0    0     0     0     0     0  8   4   5   s  380.975012  11421340.00
   0    0     0     0     0     0  8   4   5   a  381.105571  11425260.00
   0    0     0     0     0     0  8   4   4   s  389.412526  11674290.00
   0    0     0     0     0     0  8   4   4   a  389.545538  11678280.00
   0    0     0     0     0     0  7   7   1   s  395.896182  11868670.00
   0    0     0     0     0     0  7   7   0   s  395.896338  11868670.00
   0    0     0     0     0     0  7   7   1   a  396.021567  11872430.00
   0    0     0     0     0     0  7   7   0   a  396.021723  11872430.00
   0    0     0     0     0     0  9   1   8   s  399.224155  11968440.00
   0    0     0     0     0     0  9   2   8   s  399.237282  11968830.00
   0    0     0     0     0     0  9   1   8   a  399.384353  11973240.00
   0    0     0     0     0     0  9   2   8   a  399.397427  11973630.00
   0    0     0     0     0     0  8   5   4   s  406.477635  12185890.00
   0    0     0     0     0     0  8   5   4   a  406.592314  12189330.00
   0    0     0     0     0     0  8   5   3   s  408.026967  12232340.00
   0    0     0     0     0     0  8   5   3   a  408.143115  12235820.00
   0    0     0     0     0     0  9   2   7   s  433.955807  13009670.00
   0    0     0     0     0     0  9   2   7   a  434.099471  13013970.00
   0    0     0     0     0     0  9   3   7   s  434.263156  13018880.00
   0    0     0     0     0     0  9   3   7   a  434.405868  13023160.00
   0    0     0     0     0     0 10   0  10   s  435.628950  13059830.00
   0    0     0     0     0     0 10   1  10   s  435.629005  13059830.00
   0    0     0     0     0     0  8   6   3   s  435.757259  13063670.00
   0    0     0     0     0     0 10   0  10   a  435.816866  13065460.00
   0    0     0     0     0     0 10   1  10   a  435.816920  13065460.00
   0    0     0     0     0     0  8   6   2   s  435.824258  13065680.00
   0    0     0     0     0     0  8   6   3   a  435.916497  13068450.00
   0    0     0     0     0     0  8   6   2   a  435.983647  13070460.00
   0    0     0     0     0     0  9   3   6   s  460.885411  13817000.00
   0    0     0     0     0     0  9   3   6   a  461.020745  13821050.00
   0    0     0     0     0     0  9   4   6   s  464.037454  13911490.00
   0    0     0     0     0     0  9   4   6   a  464.166050  13915350.00
   0    0     0     0     0     0  8   7   2   s  470.620919  14108860.00
   0    0     0     0     0     0  8   7   1   s  470.623137  14108930.00
   0    0     0     0     0     0  8   7   2   a  470.745061  14112580.00
   0    0     0     0     0     0  8   7   1   a  470.747285  14112650.00
   0    0     0     0     0     0  9   4   5   s  478.637996  14349210.00
   0    0     0     0     0     0  9   4   5   a  478.768259  14353110.00
   0    0     0     0     0     0 10   1   9   s  481.228577  14426870.00
   0    0     0     0     0     0 10   2   9   s  481.232362  14426980.00
   0    0     0     0     0     0 10   1   9   a  481.389859  14431700.00
   0    0     0     0     0     0 10   2   9   a  481.393626  14431820.00
   0    0     0     0     0     0  9   5   5   s  491.278096  14728150.00
