inv',J',K'a,K'c,inv,J,Ka,Kc,nu,
s,5,2,3,s,6,2,4,1406.3808,
s,5,2,4,s,4,2,3,1507.4426,
s,5,2,4,s,6,2,5,1411.4540,
s,5,3,2,s,4,3,1,1512.7381,
s,5,3,2,s,5,3,3,1467.3901,
s,5,3,2,s,6,3,3,1404.5464,
s,5,3,3,s,6,3,4,1408.2198,
s,5,3,3,s,5,3,2,1459.9764,
s,5,3,3,s,4,3,2,1509.8382,
s,5,4,1,s,6,4,2,1406.1240,
s,5,4,1,s,4,4,0,1510.6066,
s,5,4,1,s,5,4,2,1463.8101,
s,5,5,0,s,6,5,1,1406.5511,
s,5,5,0,s,5,5,1,1462.7926,
s,5,5,1,s,6,5,2,1406.6017,
s,5,5,1,s,5,5,0,1462.7786,
s,6,0,6,s,7,0,7,1408.5233,
s,6,0,6,s,5,0,5,1510.6953,
s,6,1,5,s,7,1,6,1404.3051,
s,6,1,5,s,5,1,4,1516.7927,
s,6,1,6,s,6,1,5,1437.4824,
s,6,1,6,s,7,1,7,1408.5233,
s,6,1,6,s,5,1,5,1510.6593,
s,6,2,4,s,6,2,5,1482.8317,
s,6,2,4,s,5,2,3,1523.0880,
s,6,2,4,s,7,2,5,1399.4274,
s,6,2,5,s,6,2,4,1446.2911,
s,6,2,5,s,7,2,6,1404.4434,
s,6,2,5,s,5,2,4,1515.9535,
s,6,3,3,s,6,3,4,1473.1176,
s,6,3,3,s,5,3,2,1524.8792,
s,6,3,4,s,5,3,3,1519.4097,
s,6,3,4,s,7,3,5,1400.6263,
s,6,3,4,s,6,3,3,1456.5658,
s,6,4,2,s,6,4,3,1465.2527,
s,6,4,2,s,5,4,1,1521.2499,
s,6,4,3,s,5,4,2,1520.1637,
s,6,4,3,s,6,4,2,1462.4729,
s,6,4,3,s,7,4,4,1398.2235,
s,6,5,2,a,7,5,2,1396.8861,
s,6,5,2,a,6,5,2,1463.0922,
s,6,6,0,s,6,6,1,1463.3018,
s,6,6,0,s,7,6,1,1397.8268,
s,6,6,1,s,7,6,2,1397.8369,
s,6,6,1,s,6,6,0,1463.3018,
s,7,0,7,s,8,0,8,1401.4370,
s,7,0,7,s,6,0,6,1518.5108,
s,7,1,6,s,6,1,5,1524.4918,
s,7,1,6,s,8,1,7,1397.4383,
s,7,1,7,s,7,1,6,1432.7962,
s,7,1,7,s,8,1,8,1401.4370,
s,7,2,5,s,8,2,6,1392.9722,
s,7,2,5,s,7,2,6,1489.5499,
s,7,2,5,s,6,2,4,1531.3970,
s,7,3,4,s,6,3,3,1536.0822,
s,7,3,4,s,8,3,5,1388.5882,
s,7,3,4,s,7,3,5,1480.1424,
s,7,3,5,s,6,3,4,1528.6942,
a,3,2,2,a,3,2,1,1459.4191,
a,3,3,0,s,3,3,0,1462.6249,
a,3,3,0,a,3,3,1,1462.5608,
a,3,3,0,a,4,3,1,1424.2636,
a,3,3,1,a,3,3,0,1462.2196,
a,3,3,1,a,4,3,2,1425.1201,
a,4,0,4,a,5,0,5,1423.5612,
a,4,0,4,a,3,0,3,1496.0482,
a,4,1,3,a,3,1,2,1502.0181,
a,4,1,3,a,5,1,4,1418.8400,
a,4,1,3,a,4,1,4,1479.2066,
