866.1333	0.0001	0.0001	0	1	0	0	0	0	8	2	6	s	0	0	0	0	0	0	7	3	4	a	88KaSiJoKa.1
889.4108	0.0001	0.0001	0	1	0	0	0	0	9	3	7	a	0	0	0	0	0	0	8	4	5	s	88KaSiJoKa.2
869.4207	0.0001	0.0001	0	1	0	0	0	0	8	1	8	s	0	0	0	0	0	0	7	0	7	s	88KaSiJoKa.3
871.9989	0.0001	0.0001	0	1	0	0	0	0	7	3	4	a	0	0	0	0	0	0	6	4	2	s	88KaSiJoKa.4
876.4467	0.0001	0.0001	0	1	0	0	0	0	4	4	0	a	0	0	0	0	0	0	3	3	0	s	88KaSiJoKa.5
881.2748	0.0001	0.0001	0	1	0	0	0	0	6	3	4	a	0	0	0	0	0	0	5	2	3	a	88KaSiJoKa.6
881.3410	0.0001	0.0001	0	1	0	0	0	0	8	3	5	a	0	0	0	0	0	0	7	4	3	s	88KaSiJoKa.7
888.8794	0.0001	0.0001	0	1	0	0	0	0	11	0	11	s	0	0	0	0	0	0	10	1	10	s	88KaSiJoKa.8
888.8794	0.0001	0.0001	0	1	0	0	0	0	11	1	11	s	0	0	0	0	0	0	10	0	10	s	88KaSiJoKa.9
898.7626	0.0001	0.0001	0	1	0	0	0	0	6	6	0	s	0	0	0	0	0	0	5	5	0	a	88KaSiJoKa.10
898.7676	0.0001	0.0001	0	1	0	0	0	0	6	6	1	s	0	0	0	0	0	0	5	5	1	a	88KaSiJoKa.11
898.9076	0.0001	0.0001	0	1	0	0	0	0	6	6	1	s	0	0	0	0	0	0	5	5	0	s	88KaSiJoKa.12
898.9147	0.0001	0.0001	0	1	0	0	0	0	6	8	0	s	0	0	0	0	0	0	5	5	1	s	88KaSiJoKa.13
903.4253	0.0001	0.0001	0	1	0	0	0	0	8	4	5	a	0	0	0	0	0	0	7	3	4	a	88KaSiJoKa.14
906.4246	0.0001	0.0001	0	1	0	0	0	0	6	8	1	a	0	0	0	0	0	0	5	5	0	a	88KaSiJoKa.15
906.4316	0.0001	0.0001	0	1	0	0	0	0	8	6	0	a	0	0	0	0	0	0	5	5	1	a	88KaSiJoKa.16
906.5712	0.0001	0.0001	0	1	0	0	0	0	6	8	0	a	0	0	0	0	0	0	5	5	0	s	88KaSiJoKa.17
906.5762	0.0001	0.0001	0	1	0	0	0	0	6	6	1	a	0	0	0	0	0	0	5	5	1	s	88KaSiJoKa.18
907.5537	0.0001	0.0001	0	1	0	0	0	0	7	8	2	s	0	0	0	0	0	0	8	5	1	s	88KaSiJoKa.19
912.7670	0.0001	0.0001	0	1	0	0	0	0	9	4	5	s	0	0	0	0	0	0	8	3	5	a	88KaSiJoKa.20
913.1054	0.0001	0.0001	0	1	0	0	0	0	15	0	15	s	0	0	0	0	0	0	14	1	14	s	88KaSiJoKa.21
913.1054	0.0001	0.0001	0	1	0	0	0	0	15	1	15	s	0	0	0	0	0	0	14	0	14	s	88KaSiJoKa.22
913.1373	0.0001	0.0001	0	1	0	0	0	0	8	4	4	s	0	0	0	0	0	0	7	3	5	s	88KaSiJoKa.23
914.2419	0.0001	0.0001	0	1	0	0	0	0	14	1	13	s	0	0	0	0	0	0	13	2	12	s	88KaSiJoKa.24
914.2419	0.0001	0.0001	0	1	0	0	0	0	14	2	13	s	0	0	0	0	0	0	13	1	12	s	88KaSiJoKa.25
914.2913	0.0001	0.0001	0	1	0	0	0	0	7	7	0	s	0	0	0	0	0	0	6	6	0	a	88KaSiJoKa.26
914.2913	0.0001	0.0001	0	1	0	0	0	0	7	7	1	s	0	0	0	0	0	0	8	6	1	a	88KaSiJoKa.27
914.4275	0.0001	0.0001	0	1	0	0	0	0	7	7	1	s	0	0	0	0	0	0	8	6	0	s	88KaSiJoKa.28
914.4275	0.0001	0.0001	0	1	0	0	0	0	7	7	0	s	0	0	0	0	0	0	8	8	1	s	88KaSiJoKa.29
915.0672	0.0001	0.0001	0	1	0	0	0	0	7	8	1	a	0	0	0	0	0	0	6	5	2	a	88KaSiJoKa.30
916.7158	0.0001	0.0001	0	1	0	0	0	0	13	1	12	a	0	0	0	0	0	0	12	2	11	a	88KaSiJoKa.31
916.7158	0.0001	0.0001	0	1	0	0	0	0	13	2	12	a	0	0	0	0	0	0	12	1	11	a	88KaSiJoKa.32
916.9413	0.0001	0.0001	0	1	0	0	0	0	8	4	5	a	0	0	0	0	0	0	7	3	5	s	88KaSiJoKa.33
921.4355	0.0001	0.0001	0	1	0	0	0	0	7	7	0	a	0	0	0	0	0	0	6	6	1	a	88KaSiJoKa.34
921.4355	0.0001	0.0001	0	1	0	0	0	0	7	7	1	a	0	0	0	0	0	0	6	8	0	a	88KaSiJoKa.35
924.4150	0.0001	0.0001	0	1	0	0	0	0	10	4	6	s	0	0	0	0	0	0	9	3	8	a	88KaSiJoKa.36
924.4296	0.0001	0.0001	0	1	0	0	0	0	15	0	15	a	0	0	0	0	0	0	14	1	14	a	88KaSiJoKa.37
924.4296	0.0001	0.0001	0	1	0	0	0	0	15	1	15	a	0	0	0	0	0	0	14	0	14	a	88KaSiJoKa.38
929.8242	0.0001	0.0001	0	1	0	0	0	0	8	8	0	s	0	0	0	0	0	0	7	7	0	a	88KaSiJoKa.39
929.8242	0.0001	0.0001	0	1	0	0	0	0	8	8	1	s	0	0	0	0	0	0	7	7	1	a	88KaSiJoKa.40
929.9494	0.0001	0.0001	0	1	0	0	0	0	8	7	2	a	0	0	0	0	0	0	7	6	1	a	88KaSiJoKa.41
